Address,Balance(USD)
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",188053 USD
"""0x9bADAE7A4A9030D094b799f13B306d2F462F9be9""",111975 USD
"""0x36209FD925f337e75e11322e7a94cf51505E4a73""",32684 USD
"""0xac4f0167bcED647F003EeEbdc4706a8344913230""",28230 USD
"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",27277 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",22564 USD
"""0xb9F2fd666969FA7ff877B4b8ED803484C6D90008""",22090 USD
"""0x78d92D7532fDF232105d3593613196c57b3787d5""",16145 USD
"""0x5EdE3736487AB34D28781C079d34c1309Df951c1""",15171 USD
"""0x8E9557E6167C0503119c2AbaEA43a48971B51571""",14990 USD
"""0x2897c071C7F4645277126779a97d244486c95Cb3""",12919 USD
"""0x8C23A8D17F10943B6297585957faf7Da63465685""",11168 USD
"""0x32D94d3e3750f02c6502663927513bed09feE77A""",10321 USD
"""0x07470c1967c52dc5B863195943Ab9B4168dA2533""",10321 USD
"""0x79b2b2FAB47DE351B8eBB7B461ef120425Efb259""",7981 USD
"""0x5F57c996675bDC1D2AD9adD3acaaB08E0e1E4fA6""",7531 USD
"""0x53c7F89db15c6251AF5ab3FB3BC4771bf8deb4fA""",7166 USD
"""0x44382a8c5e80C2B574b24Ba796d748f4386D26E0""",6963 USD
"""0x035abc552201330F113A0E09c2B080727238aE2c""",6780 USD
"""0x467C3b4dDD7DBf56E2ae9A87aa210e0731A85253""",6715 USD
"""0x774325AaFc43842732D8D88BD3Aa737e31aFbBe8""",6137 USD
"""0x9859485C6f6cfE21ed5Be143051725d114A8A721""",5697 USD
"""0xA32E747fA0548935dadFe5205158569048818dcD""",5689 USD
"""0x1D40E7a48751f3379284C24b2D2eca3E40E00D4F""",5008 USD
"""0x76B2678d52a744Bd5e3D1C66798Ebe84cC308Fa3""",4818 USD
"""0xD5EF2C6B33f91dF0C2cC3B76366D2Da1dE929F7F""",4488 USD
"""0xdF3504E9d05E54197F5d6Db864194b199258571D""",3751 USD
"""0x68577F6cca338d65A8767839A775Fbc646723753""",3495 USD
"""0x92b5e5b212E8BA8056e1bc039f10534f89b38Bc9""",3463 USD
"""0xE48079F5a2f1822f1EDfE79be3953c2EaD348828""",3440 USD
"""0xe4471D3503e113E0D02413fD41750ECbf3648638""",3390 USD
"""0x055dA853895932d13C1a8b47421017CA22bbb0A6""",3380 USD
"""0x35365672A856303149798ed51f6Ff44527AeAFC1""",3332 USD
"""0x681ABeD699257e0b9939Ef478587eab17528d29d""",3263 USD
"""0x6B6c61b3Ddf8932D86Aa9d515b22800c87Ef301a""",2952 USD
"""0xc147689945F32dC4CF081dd77d74902B9042e97f""",2815 USD
"""0x2b0f576B3255Eb1D11175556449e03B6bD08A345""",2572 USD
"""0x820b916c357E4090e3863518e66D2c11E2ec4B9e""",2490 USD
"""0x089f2FaF457F3F28f8E2a503Ffcac1A3D5EEf34B""",2423 USD
"""0xfaE89DCc56935046957E38fE1E41c9Fc504D4Ed4""",2355 USD
"""0x7F8dbe45C8DFe0Bb1E1c7d0dF26BC81FDdB5dB8B""",2195 USD
"""0x7CdA0228c95a72089fBdf4183E358fca0abD43FB""",2176 USD
"""0xD47f8604677153CFF4bdBAD2fe939c9Fd0C7e3fd""",2098 USD
"""0xBdEc74E6b61Cb33D9d777246750687e6c8b6Be43""",2057 USD
"""0xbE8cdC2165c0B885A0bC9D5826742937aCeFE1a1""",2002 USD
"""0xAFFB0f6070Cf148f7F26e3cd02a51E29AF5d1a56""",1979 USD
"""0x3fC704F8691Ba311974a13A24975DFef6aB0762D""",1656 USD
"""0x1B7f0c987D5D01a4d756D1D5e0759F08E8489469""",1643 USD
"""0xaC0895D7e896CB43FA9feD4a53d4DE1368420B68""",1500 USD
"""0x9df5af189bF91bda2da0fAc0dA180E537b72E36b""",1469 USD
"""0xf71FC04D17E9876245807CeEE667B57ADA201d74""",1441 USD
"""0x4dEC4B8a2164e9213a82f3FCC045b0805A53d7A0""",1368 USD
"""0x6f75A843df347C6E44Aa8D8BffaA9cdDa1927A6c""",1325 USD
"""0x0bEDE91892041B650d1cB7cA296Fee7ece209fd8""",1276 USD
"""0xcf4237dEC80e78dDbF22F5Fe28C28d8Aa9ff7992""",1220 USD
"""0x94c2a2311DF41653A4481CC12c5481Bea8e5Ed4D""",1206 USD
"""0xA5bf440FC8ca53069F26EcDdf29B9b1b3615580D""",1144 USD
"""0x216Cc750C82F14B718EF862B7FF0Ab0633BD6284""",1049 USD
"""0xA7269C74294E399D700A58Be9f035B652dd67e48""",1035 USD
"""0xf4C6975A69f2383f2691974E634371bdF9998873""",941 USD
"""0x8C74a2CAE76b99B6DdEc00711e098835D63B2C44""",937 USD
"""0x9B1bbecdf6409ff6F7cAE9DA2C4d2C7f6b8CF9E9""",935 USD
"""0x2a4D141cB8Cbee33f0970E3b99cceaD1594f25fB""",934 USD
"""0xC38920E0edEFE6aeb284f1E098eF830EDC932745""",850 USD
"""0x6318715877EBAA86DA2baD82Ad401Ae23f5D2700""",846 USD
"""0x770a6b3f1eD833e5d99e9F66047E19a832afA26d""",834 USD
"""0xE2419Ab6629c6137D7aE5B5761a222B0ce1e8392""",833 USD
"""0xE239Ab039324Fb969eBf324268c89f5bD60132De""",812 USD
"""0x3F4A15555e57db04fB5000791F0E1d11177fA527""",790 USD
"""0x83840309daEf0690FD20D4031d70b72A754EBBF4""",789 USD
"""0x3FAFf3b19d2C32E1427BEbdF419f9e0072Fa1630""",775 USD
"""0x62d983494AfdC2A65bfA622529ce193EbF2FE8f0""",753 USD
