Address,Balance(USD)

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",266849 USD

"""0x29488E5fD6bF9B3cc98A9d06A25204947ccCBE4D""",97953 USD

"""0xa6Ae57b1dA8238Cd149bC718c40578E4620b752c""",48153 USD

"""0xd23C1a4BCDedAF5299141BeD61439A88FE0a858A""",46214 USD

"""0xBCBE368E75C77BFEc82d4bda216E52eFdd0c5a6f""",39982 USD

"""0x7b9d4D8772b8705dDc7456Daf821c3022DDa0504""",39902 USD

"""0x25a08D6c68183a371fD6015a28ad9a0aA57a9c57""",38609 USD

"""0x000013De30d1b1D830dcb7d54660F4778D2d4aF5""",37845 USD

"""0x9e22B83dEdE6afa38Be6EEdE42B6b9F29a0f6547""",26921 USD

"""0x000026b0B3F1cc243A56736A93Aa28e4d97A7D2A""",26479 USD

"""0xa3D276fAc48A55DfF8e559a7e1EC5F09918eB166""",25398 USD

"""0xc7Bf1bF8D639Db5aE9C52C905747795752DC967a""",24504 USD

"""0x3511f837687Ff7272A39a231Cac1452Ad71141Fa""",23488 USD

"""0xeb5B757A28C173971B90E938Efe697F40DB582Ea""",22040 USD

"""0x966c5496E978621B24DB1177187ff1F9a02F4B9f""",19752 USD

"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",18704 USD

"""0x8e3EEdF2C8655c442F0C1Cc0A58160250BecF03C""",17467 USD kokomade

"""0x1D283807630fFB876A5d78B8e0788e491449F241""",13010 USD

"""0x8A507a95451dc47eB6c46Ff21b58e94C95E357ce""",12285 USD

"""0x1739B308d2232f9987975298c4459b5e51Fa272E""",10956 USD

"""0x8e5E9744C1d18A8bD2058F295247fc05e732F0A4""",10654 USD

"""0x22225f25F6C3e90cf25c370085026Bfb19F586E6""",9981 USD

"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",9590 USD

"""0x1113eFd5C8896CcF251EA360bB9d91F113707F80""",9580 USD

"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",9531 USD

"""0x111206594F2fB5927f719b4417Ab1DA3D41B14b1""",9528 USD

"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",9112 USD

"""0x55DCad916750C19C4Ec69D65Ff0317767B36cE90""",8958 USD

"""0xc9dDfE2081274Ac9329c8e1113303f53e7830353""",8940 USD

"""0xad67D3a4fE6040CcB8AE703a443202Ec6b9E4a0f""",8672 USD

"""0x7e366577764b317C23964dF83aD25B3Bae4A238e""",8430 USD

"""0x1111E3Ef0B6aE32E14a55e0E7cD9b8505177C2BF""",8402 USD

"""0x1D80ACDCae2257329557Ae12C1D1fC21361DeF30""",7818 USD

"""0x97Df9627ab546197F2b571dBF60685e32F472Fa8""",6264 USD

"""0x23583b8104C11F3C2fB30Cee228170FcffAaD0b2""",5983 USD

"""0x802b23Db67dAa6fa76386D63ac6e022FcDDEd299""",5765 USD

"""0x1e9D349CeC77FEA6481F009593101d0e20a69490""",5107 USD

"""0xc4cC364706Fe781FB00a47BaDb297Af36A482Cc1""",5100 USD

"""0x9d8cAD2C91b3bfDa773eE7Bf6Ddb47a8984d51eF""",4960 USD

"""0xc5C9F6dDA68422984A06A66a3d1aEbD7D979A158""",4946 USD

"""0xE8FB27B448726AA39bdb3322aac31B6a3D583cFA""",4892 USD

"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",4652 USD

"""0xe839B2E436782EC0F52724e72B68d1C70CbC8F35""",4544 USD

"""0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16""",4455 USD

"""0x8D0521C7748e47369794cd346Fb61Ad31b0a2b03""",4321 USD

"""0x7225D8708b78772f7ccaDc6dF264c42b2b96C35a""",4239 USD

"""0xd75e7d1A42b616A24a8AFA71a462D74738a87d50""",4225 USD

"""0x0000B8e312942521fB3BF278D2Ef2458B0D3F243""",4077 USD

"""0x377C0A6e1f03ae30639897160F837c9da0A9b905""",4045 USD

"""0x99A9f7047e0B3f2ecc2d0C4a754720C71Bfc563f""",3773 USD

"""0xDAf886a8ccF0af82088eFBe7BEA4273174f86500""",3579 USD

"""0x446FF748B036CA9122a4084B2d590282B81010E1""",3514 USD

"""0x274DAbfA9AFBB118cBCE512A3F329b64A3a9B2Cf""",3165 USD

"""0x7c101f46340068eEd0B624cad838E1f56aedFec3""",3081 USD

"""0x5dF5Bd97f91DE1040E5f3193a169D7f63031F459""",3073 USD

"""0x164F7B142F11978d2c1F75822A132405BC2a62cA""",2953 USD

"""0x23E03D80F8d3C59228837dd2f1Ac1f7107F797Ac""",2712 USD

"""0xF75b80289994DAC27590A499C30424f38969917e""",2304 USD

"""0xD91c717B673646811f1149D1a32cAa914Ee39479""",2280 USD

"""0x74C7DCFdC04b5C2041747E3D3Dfc5F4D8B329CC5""",2241 USD

"""0x0c6a84CfE6715Ed49D13e35bf17B725EC3DeF835""",2205 USD

"""0xc35DB16F8f1EC16FE693f950F7c874C64afe8b3D""",2133 USD

"""0x556b5BDAaCd12A9108C8f0FD385c04ede53193e1""",2124 USD

"""0x924E24dc5cB946ee1172D2D39c9CF7d4Ff8Ae08b""",2108 USD

"""0x234f87a0af838e6076c42235e570a27ED78147AF""",2039 USD

"""0x2bb146B1d6990730C16d26D9CE218580AD67a503""",1981 USD

"""0xfbAC129bE1F84E1989481b91a224EAD017994f43""",1929 USD

"""0x3b6B530d67020e3f9AE62b2cda0Ff40Bb0ac3279""",1898 USD

"""0xCeC85FCeC327D3867E4549f1a181f6b99327b9B1""",1803 USD

"""0x6B92871406EE86cEb7871b80558F1340192E7AD1""",1741 USD

"""0x79BD48C1067a42DEbdE28fa4Ed6Fa3Ef535dcc86""",1693 USD

"""0xC4AB51fecdf6a748098cd1AE0742A90AA4e33BE0""",1672 USD

"""0x450c775DC4f97009Dea4289Deabb4388ae833613""",1590 USD

"""0x91E17037DE79987d9C58cB3eE982257Ee2369BE6""",1538 USD

"""0xacA2630e13FA29336D1833b53a030Eb685E237D3""",1483 USD

"""0xC2aEE81cf98fc2Dbe3F7F9f78f8bEb972C4d14a6""",1482 USD

"""0xa47caB7C134FbD190C9635Eb3C1a19c15F93E27d""",1473 USD

"""0x4784b29aBa666634f9C9E51dB18837b5BBf98098""",1343 USD

"""0x60843934FBdbB6f3473B6f7182BA852d4113A048""",1230 USD

"""0x1cAc7a07e8cb87B73d94747028845638D55d3Fde""",1216 USD

"""0x2ba7D6be8b0a21b7Eb345Ee3E45B28CBC1E21152""",1190 USD

"""0x6EB9fD175A8265A11bA06cfb02cD19cEE47eEBeA""",1166 USD

"""0xC6Ce714a7b8E836B5Bb24175E6160502b6577b11""",1153 USD

"""0xF292E2d2b321b0DF16846f8e3F0289a3B11400BD""",1113 USD

"""0x68d9e26C28BFAaaB6ADC31038b857FC3A78C992e""",1111 USD

"""0x9fA7bB759641FCd37fe4aE41f725e0f653f2C726""",1089 USD

"""0x6b9B1361c852f13547DF5E528C51d4449Ac475b4""",1072 USD

"""0xC525410ba9a3F615a0e86913075c816d1646B9C9""",1052 USD

"""0x183D63AB9C95F9FE5C4Ac2D6f0231B5b50C138a0""",1034 USD

"""0xbc0D6b1c9a9487cCD2F7A68AD24edadcdB8cFE09""",1003 USD

"""0x0A56F28C1e67c9bdF602395eEa22EB24558e22bF""",990 USD

"""0x3001f6F2187D875a1Bc24B10Fe9616Ebcaf4fB45""",955 USD

"""0xB854b1F86773A7ee80BF4fc447eBa9Eebc3FE840""",947 USD

"""0xedA755f38F1306968191841B1AeD255AbCD79b54""",931 USD

"""0xBB454c64B7191595313ad5ddf7Bd38108B75D7c2""",889 USD

"""0x6A8222eb67C989Ab3103612CcB1C3e6D679eDA67""",859 USD

"""0x9d263AF3950c80e3b49abD6def91F803762D65AB""",821 USD

"""0x2C0F0df5652EFF4Fd089b6BAeAb46D36BC7D9483""",794 USD

"""0x26fc8F50C4cFaffE648edc701C6EDc246528229A""",779 USD

"""0x79452B1ef839cafd8eA601B61dbbdb617ff5d651""",768 USD

"""0x92398d3B21a3bD85103B085Dc7cA797C48F2b41d""",733 USD

"""0x52Ae78F642f1C5e8DCcF130b812cDbbD75aEAf93""",716 USD

"""0x94c372CC77eDC65c4177dbAdd35235ea57917F09""",703 USD

"""0x3C4FFFc3f4F4CA2C04714Afaf92cBB4c82b3BB6d""",703 USD

"""0xf99f7A254668a47497ecC8B72fe4C114c0dC55A2""",688 USD

"""0x4c65b28a79D6eaB10198E28415a126a48B78eD16""",687 USD

"""0xcDFF927eE0f5fb0FA03C3a926924E97bb85eE1e7""",684 USD

"""0xB379FfD60A2679f199A1Bf19d385d6758242fC0E""",669 USD

"""0x36E7B903cc18F0513963E145df49A2E7Ac278D53""",665 USD

"""0x32A966a95C83fA04A928028cd5A1d4BDfAbE0744""",638 USD

"""0x2ae132E5B2d70FF739471c470F9974477b20a975""",629 USD

"""0x424281Dc1A15A4C9E82169E4180Dd0381c593aE9""",612 USD

"""0x756f84b46B45433f82a34baf7F09bBa821deFBC4""",608 USD

"""0xD5C2F9Dc979f54152EFb4b479c596c873a44c466""",573 USD

"""0x854212F6ed7bDc4cf9518820B21Beb2f2244B3B2""",569 USD

"""0xf25fc5CcBff0eeAc4a8EF734fF0d8A85D8572769""",551 USD

"""0x17284c1E1EcC659C7396952C7c68066fC3Aa217D""",518 USD

"""0x41aC1C49416Bf927BD8Ec75A62De522a33827721""",495 USD

"""0xd00EEa98530797862A3B99e23288933bFa90Ed83""",481 USD

"""0xf98a9aCC1aAd53Abe8fD91A9BeB4537845960C76""",479 USD

"""0x0A71c3430d581A67A69C9B3E88c08bdA0ae70cFE""",477 USD

"""0xf864ddE5B771A4dcbc36f8043872D23E8467E7ee""",470 USD

"""0x1d1A6843FF3B97A076fFA0C315b6C9b2B9c15b9A""",462 USD

"""0xFe8af47800878661787b6dccdfEdbbE30E13FC87""",448 USD

"""0x8736Fb19049343fB474fD5f27Dc229ed31D2282f""",447 USD

"""0x20671eb390832ae89f69fc2b4bD297b52c18F0fC""",446 USD

"""0xAC29C8055926043A2703d07a2dc753fA1817cC5A""",445 USD

"""0x1db006326B09c2B81c9189Ce76C520bE5A4c9f8F""",443 USD

"""0xCF44Fe7df6F08d2b79a0796819b565A7B893FCC7""",437 USD

