Address,Balance(USD)

"""0x8eB2283F696F2a130134d46E28d3528e19e16868""",39590 USD

"""0x92F6B8f8B24609CCE91f38606bbcFc5075dF5Bc1""",28130 USD

"""0xcc88036Fa05c86129Bf66260c2A905AB2c7B663C""",26200 USD

"""0xd83eB40979cA0Dabe945E22629A72765dc9A39bD""",25979 USD 

"""0x054A23FB21a3C0aa438850dF22885043DfafFCA7""",20864 USD

"""0xD0991793A4320C457aB5eE4FCFC0ba7Fa19f617f""",18744 USD

"""0xd3376c001cB8D08A1d152bE6D31548f7fA59d2ab""",16496 USD kokomade

"""0xFC8433E78F40B0daB7Ce2E026c79837AA1818E97""",15727 USD

"""0x4e3D9c1321cCf7DfDC6BBc31331217a6a48516cB""",10943 USD

"""0xDCC3007d90ab2171080fEbB18cAdA6cF24520103""",9556 USD

"""0x7A4520826a7D13BBF1557a528632AE1Fb6fBd69A""",9503 USD

"""0x24CB6f3F8d8CE9a6b224E39AC2bd221cF5Bf0Ca3""",9326 USD

"""0xB826B8801F6aeEFCEa645e8e89D5dD91ea951db3""",8037 USD

"""0xB3403a129ff7E5CD1acF169e3Ce52e33c6B248dA""",7816 USD

"""0x8f05350B3f1aFc5101979F593b3C06065CbA06D8""",6150 USD

"""0x5E1Ce13dC2094320462052268B884487f2F214E0""",6123 USD

"""0x17fB35f79317224Cd01705f186577BDD48980939""",5514 USD

"""0x6d5576855262629898B5c118B33a2642DB5dfDa4""",5196 USD

"""0xe9B120443B78bdaEC8172B244fAf71576E166965""",5004 USD

"""0x574A60BF7131ce9E3C66eFA56f6dE3931C7f9Bf9""",4310 USD

"""0xC3cf2219bC49b521935d2ad06941bAcb2734ad54""",3567 USD

"""0x2fC7aC6819047b32A8C20e8276816200700e0B4b""",3424 USD

"""0x584Df055A35acf2d2183d37fC7F42cb4c502Dc51""",3234 USD

"""0xB794B87E959f991eBb03b207FA5C757e56FA50E9""",3076 USD

"""0x44b0956eADB1b26EF54335F3f1b267Cbe36d3d59""",3037 USD

"""0x1882f410FC04732C7436df58aFC056182E4C9Caf""",2894 USD

"""0xAe00Ed3eD9C69560778A44845dCAFA97992FfEBD""",2771 USD

"""0xeED8D71f84482CF10689B543ef7FD6449273204A""",2670 USD

"""0xAFc06b6123D1027b706d5D3b4BEF74928DabDe8b""",2541 USD

"""0x861dA5362878B470a69e1583d00322Cfaf159517""",2197 USD

"""0x3ef75C91b1fa89B909b60e182f4dfA2F10C2E6ed""",2142 USD

"""0x75A5D006770D116ff144028914776470BF900e37""",2032 USD

"""0xf628cE0687d35089FBef40aD3680356E7B638863""",1996 USD

"""0x494Aa1A1EAA6985E4f2A6332A9fF5e02215CeaF5""",1989 USD

"""0x1D44206B8Ce7926a6aA04B56c67fEFb85ab96977""",1944 USD

"""0x8a95d0eFBb0052638fE7F30eEEF621045aC2f5b2""",1939 USD

"""0x1aff670b78F02e27BB1fE551881425f3ab029cB4""",1893 USD

"""0xAd97F04b3aeEF10fe529a718F4AaAe44C8C4348A""",1846 USD

"""0x3ED92Ddd99eF07EFbc4D5f84f8350a24BbC3f70a""",1832 USD

"""0x5bf95F654210Ac920e107bd8ff9034018229c0d9""",1798 USD

"""0x52056C8Cd6a915d7131aA6C90c29c44107F1fDa7""",1737 USD

"""0xACD243CffD24F7180035D349E3C9269c44FEF3D4""",1727 USD

"""0x96b7c266C68BAabc7Da1B4d71de453435eA2B9E7""",1726 USD

"""0xAB13351A044fd418096b4cD6501c4034BfD1Ce5E""",1673 USD

"""0x144ADfAb18D7B7e48EEa53daB1Fcd98f4976BA12""",1609 USD

"""0x494E35c0A11dc16a109fc161d785385F874F2359""",1470 USD

"""0xff3aE32792B5B5078300e2F49D39DcB7B61522F2""",1457 USD

"""0x3ee1DcCFB601577a31f0f7Cee6484A76C964AB53""",1417 USD

"""0xE7DCD99B9C0Bb48C5EbE5c61Ea27A65882E1022F""",1390 USD

