Address,Balance(USD)
"""0xAf2358e98683265cBd3a48509123d390dDf54534""",394549 USD
"""0x22e7Df9FffcDa6e4Fc9d133901054630515AACD6""",76576 USD
"""0x0d8A07B52be59c8dF6877a886d4c804de9154B2c""",59867 USD
"""0x59423E089F6770a09d1869b4544e8993F250D1F2""",52385 USD
"""0x7E3F8a5eb16B8a11e7De6732BFEab8E9ae187F38""",51510 USD
"""0x7f93Dc22fE89d459E733dAf8B63c94eE4E31EA98""",24870 USD
"""0x3306c0C4b231e5d2e5A413AC6C0C59eD327B49b1""",24256 USD
"""0x8bc924A4C07B4369a58cf35F6dC3bA16c41Fc999""",21833 USD
"""0x3D31D0676E2373e65D5fC00c202c774CdAb792C4""",19146 USD
"""0x31A04a42Ff44D5407dD333baED240aa6a558c028""",18045 USD
"""0x5acb5382ed1a692E468D5ad79dD0D7F761a3730B""",16719 USD
"""0xfEfea9427Bef554Cc572bC4E887a0b9642fd8f4E""",15410 USD
"""0x575332B0E47B9d687A696De3f95E8cB187736A57""",12016 USD
"""0x7328aB6E634529DCb6e568a9A996654DC26f522E""",11216 USD
"""0xB09982BFea66810A37AeaDffd7661379B4d9Ab10""",10115 USD
"""0xaDB311B62dcA3842Ae61f9401Ed0c920BaA27C41""",9616 USD
"""0x2E9b3e22c2fc20D1911Aff1d868eB70b5fe0a2E2""",8056 USD
"""0xb4eC8c869C9b4fEb468AFF4632a4DC78B66c2353""",7614 USD
"""0xE7fB0C4Cd91fBe5Fb962B54de63e360095032a9c""",6502 USD
"""0x6AA497831136d7f3175aad245cb672dfE32539BA""",5502 USD
"""0x94729A5502A43E2e34865cf02c7B1197aD0Ae523""",4861 USD
"""0x59b2AF9A67245a982288a51E85433740A7338D57""",4479 USD
"""0x0e38fdD5E8A502f0ce1d30518aF8B09a1E30Ab3A""",4249 USD
"""0xeEAF2f6e62DaC9a91f3A355c2dF442Eb6357b96E""",3544 USD
"""0x6669AC0fB460AD1d4E0FfeA4b6D5338A8bf347c3""",3491 USD
"""0xE0392535303607E5051669c1090E1452F0Da64d9""",3058 USD
"""0x1E1caf25D92C489DEf9f11b0c1e89af597be4f49""",3052 USD
"""0x5522BE1F23A5D2b957fe58559021A3A4AD4FcC08""",3052 USD
"""0x72947817eE09451f269B4A1Da36439e85eddfEFb""",2872 USD
"""0xDee6CFc3C51550E5Bd46a4613a09424bc62b6Be6""",2772 USD
"""0x2F8C5A91459c0cC8E8718B2f08a6c021FD5B7746""",2735 USD
"""0x4c624857924cb23D8897c136C5aE432c698744b2""",2712 USD
"""0x5B29Ce8422A9889cd187e31455123Fdc16c89393""",2665 USD
"""0xa1fC06cA2A285B4f9E98A06584aaCB3fAcbbEc2B""",2335 USD
"""0x88d8AA93F789a789E27438dDfEff9F35dbFB130B""",2218 USD
"""0x23931c8bCaEDA24017925e4a74d260990c67cC56""",1927 USD
"""0xD6B491451cd6AefE1A2003B4d34c757689736740""",1864 USD
"""0x8a95d0eFBb0052638fE7F30eEEF621045aC2f5b2""",1808 USD
"""0x6dFA8d804181c5a726AbD03b8a834e881340EAe0""",1639 USD
"""0x01202653188E2ea2Ba4B74f38C67F1C260C51105""",1163 USD
"""0x2b271750544E73A92847c595fd36843a6cFB2168""",1059 USD
"""0x43020A079eDE5b37Aa699c5BB1ecDF0Aa62DeCe9""",1017 USD
"""0xE86826ABB64F09dc48637869C948A44D1b1BdFbB""",985 USD
"""0x5ed64ce00B5e0A167A73c72d859a60c052baCE0F""",936 USD
"""0x9A734107fA10844a09c7aCB581643B74728d91dd""",793 USD
"""0x83f00238723b4c7C3d79A21B3675b0b90F664844""",789 USD
"""0x600d2905A1Ddb282d75B72b1E8eE357f2F9AC09d""",754 USD
"""0x10ec946aBF378D525710ABd94F50Ba7D7701D6C2""",649 USD
"""0x8E0E3ebA2f8f1E4D37D1FE294D996Ef594e0E3F5""",615 USD
"""0xD1c2FA0F435dD9684292790B6e138f95F27D5015""",489 USD
"""0x072BBA0EbA28972574A8192f56D1C9Ea59E9b4e3""",487 USD
"""0x1F842AFeAf81AB658dF2f929dEFebDEc89907268""",464 USD
"""0xe3c916A23d1973843C16451263bBA0EdB01B447f""",444 USD
"""0x869D5cDF8Dc37fE8FE1f85ea26686B19c5474580""",420 USD
"""0x6dE680887c6291c892fBe5f1541964EDD0Fc1e7a""",352 USD
"""0xFBBef43F7Fd3E3201dEE0a57c382dBEA6772b7A1""",232 USD
"""0x9Ea604Db72eaEa97fD5497941A4C1bEab3FdED56""",232 USD
"""0x456a83c04968cCFdC9745D7098FF9D6962566e17""",183 USD
"""0x0060094433CcEe1Ea13362787b9A13b178D0e53E""",178 USD
"""0x260dE65bD6Dbae8E2e5D7B838005cC1aF32b4765""",163 USD
"""0x67b807cE871d5C3a3aF42506f1093721E455e57c""",145 USD
