Address,Balance(USD)
"""0xAf2358e98683265cBd3a48509123d390dDf54534""",414206 USD
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",318778 USD
"""0x58178A119781df139307572066D5E74704809861""",291509 USD
"""0xA0b1C5F88d9A1aCDD4f7fF869e947bfd54C07c61""",176253 USD
"""0x4D521577f820525964C392352bB220482F1Aa63b""",82750 USD
"""0x4b156b241Cafd48c27951223985f04dDA4228340""",59742 USD
"""0x22e7Df9FffcDa6e4Fc9d133901054630515AACD6""",50488 USD
"""0x6A7e2B6101490F57D93C89610d0B2C24EFa5Ba6D""",50234 USD
"""0x000013De30d1b1D830dcb7d54660F4778D2d4aF5""",45616 USD
"""0x953b239b656f611b65F86e0e6a99E6b500f6bC9a""",41186 USD
"""0x6D733f714D2196e83EE1aFaa89E70967cf1d2D16""",36992 USD
"""0x076ed039940aE1f5De89745609C7bbc307aaB886""",36365 USD
"""0x04C62B449056D592474830d647d25451EE9c5F40""",34300 USD
"""0x2B7070128b9020e77a4c036fB36f40E077F9776a""",29971 USD
"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",26880 USD
"""0xf69a7Cd9649a5B5477fA0E5395385FAD03Ac639f""",21884 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",21405 USD
"""0xf8fc6973c60f70eE4E8540E2D163D9DDF1Da044F""",13790 USD
"""0x3e88F4e2e4F78acD018a463B69Eb1ed8D011111A""",13712 USD
"""0x83D12353AF9565caD05bcfa5f274A6acD8856555""",13233 USD
"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",11570 USD
"""0xc0fE18F2A22D6165aD438F27d769a6EF2B8b8f51""",11369 USD
"""0x23A1B77C7b47305EF84c58CA2526BEd8BD5B7D99""",11354 USD
"""0x3D9f6DCD969B6588249793A38Ec2905B288caC25""",11192 USD
"""0x9f394569A5D2Af700A5e6eaEFA067373d1b12C3C""",11103 USD
"""0x44481b7Ea6fA073aFBe116d91F0B8384440AbB9E""",10920 USD
"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",10325 USD
"""0x111206594F2fB5927f719b4417Ab1DA3D41B14b1""",10269 USD
"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",10094 USD
"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",10041 USD
