Address,Balance(USD)

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",241229 USD

"""0x7a9d3ec77ef2f32016bb6A4C60479cc89C6a04D3""",112713 USD

"""0x59423E089F6770a09d1869b4544e8993F250D1F2""",101554 USD

"""0x40524BdD8664C37D5015E7edFFec327C4EE57F07""",48468 USD

"""0xf71FC04D17E9876245807CeEE667B57ADA201d74""",40354 USD

"""0x25a08D6c68183a371fD6015a28ad9a0aA57a9c57""",38201 USD

"""0x26cE7c1976C5eec83eA6Ac22D83cB341B08850aF""",37498 USD

"""0xAff9C638dcb4D2B351B052D4Ae42a9083eD98789""",36549 USD kokomade

"""0x1f916bBF39aB189A9E3d9E1823a7b1A8e9e5f204""",28319 USD

"""0x26Ec346b79f5E440E01D28AC6c43536D561B1056""",24141 USD

"""0x67f9bB828745f2aEED04BfEaB1B7527B130b5C78""",21432 USD

"""0x4D521577f820525964C392352bB220482F1Aa63b""",20284 USD

"""0xBA100b3c1d0822C0b5195519D8b4D5BdEC1A1766""",16995 USD

"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",16656 USD

"""0x1D91da30b083fc17C5cda25b25819D4b8DB27862""",14879 USD

"""0x5D48709d2c9B40228E5fFA65A30a54DE5E479D62""",11700 USD

"""0x53c7F89db15c6251AF5ab3FB3BC4771bf8deb4fA""",11440 USD

"""0x13696f2dFE6F552589821cD629632DF8C708CeCF""",11296 USD

"""0xbd6B8D8fA94f7307840252548549b56a33c98054""",11104 USD

"""0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16""",10711 USD

"""0x5689cBa838823146Ebc84AB63e7A14526D9e6430""",10491 USD

"""0x04D118824D12Da4c33C70c11c6780C1961084CbD""",10245 USD

"""0xFb1C20C97CF19017f50aB93960ca286C101B2421""",10092 USD

"""0xc0fE18F2A22D6165aD438F27d769a6EF2B8b8f51""",10059 USD

"""0x441c8cbE1aa06BEeA4c84cfFf5e12753f37822fb""",9942 USD

"""0x90a93210e20Eb5f1d4ce1193890d38F0110bd19B""",9832 USD

"""0xFC426a7850205d2AA7d0414345E7C9D7C2e8dd1D""",9191 USD

"""0x35Fea7f23AD7722d00f2E2a10f388C8Ad08e106c""",9177 USD

"""0x91fA982255F24F7CB841c6218A08177241777AdE""",9013 USD

"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",8969 USD

"""0xD6c627b896cD60Cdbe9FF4E5fDD4a792C78C842d""",8728 USD

"""0x4ADa23a97451e0B43444aBE15A2ea50a3E6110F9""",8340 USD

"""0x6Ec0103c8a2B6F3492c26b66966de26Efd6C3D14""",7981 USD

"""0x5a39e2D5a81Fe9e630Ee574df446B78F742F5D9E""",7830 USD

"""0x61ab77f0D7ADd42615D9A548e971271658d6B70d""",7826 USD

"""0xE9CA2a19B5e3DC8713091945bC53741767560313""",7281 USD

"""0xd75e7d1A42b616A24a8AFA71a462D74738a87d50""",7218 USD

"""0x2cB0D9816223C2FeE4c2e5339618cD0347DC6A66""",6807 USD

"""0x116b5399D4eE6882C1ca7553cC94Cc9E644C9290""",6752 USD

"""0x104831f3cad8fc6d28Cd0C4650733c484B50Ed6c""",6641 USD

"""0x999999B2173a81c2b20E202c3d22E0473f6517b6""",6481 USD

"""0x098F5CD62338C2E3eAcb2EA73e89c59957c66d67""",6435 USD

"""0x38790dEd09b38Df2F558FC040ae7A2B060B38FB7""",6126 USD

"""0xe8ea4a00c0977DA96B08318d4562fe209E8b0E1F""",6046 USD

"""0x2cEb80a258e5532a8C17D37F4185F9454dc87304""",5907 USD

"""0x35c56Be9b9747c06B236B27c735FA98E724DD1c5""",5887 USD

"""0xd1383FdA0bAa4f666f257e962f5FAE0CF95cC5C7""",5760 USD

"""0xb27Afe95E94f20004C609504C5e30bC457E23DAc""",5692 USD

"""0xc27FD9D5113dE19EA89D0265Be9FD93F35f052c8""",5652 USD

"""0x0e780548345EFF43248945d500a9F0D158C92f10""",5598 USD

"""0x42351635D3E18bebbEd4d119DA64607D765aE877""",5550 USD

"""0xDB31BA10Ae4fED901d0a41D561cd34CbB88698f1""",5461 USD

"""0x7A6b049D83554dA1175d65be3f6264A74a05AE17""",5182 USD

"""0xa1e8a739166876845B7dEdc177989024bAB0D810""",5074 USD

"""0x3961f5CA7799C4518710bc5ce052323b2b92Ca8C""",4970 USD

"""0x3b4f4A75596CDF8cd42DF0C969472Ae18A24771b""",4913 USD

"""0x52F8b8c4eb88DCdE2f128a506F5FA4754FfB19b4""",4790 USD

"""0xbF45dd1bCa8067769494B935C69763ca29de85a0""",4758 USD

"""0x24333f08e19E69A94E4bA4BDa4b097CB7828f1fb""",4668 USD

"""0x42c2BeE4EeB489DD1DFeA2c7c8b1f6105aD46516""",4662 USD

