Address,Balance(USD)

"""0x9bADAE7A4A9030D094b799f13B306d2F462F9be9""",485769 USD

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",275326 USD

"""0x1B7f0c987D5D01a4d756D1D5e0759F08E8489469""",57976 USD

"""0xf6CeD3554f161a55895724479FCEaCeBfAb75343""",48867 USD

"""0xc0eb1A51C05dfB68A426Ed5edc627Fad9B0e471D""",41754 USD

"""0xac4f0167bcED647F003EeEbdc4706a8344913230""",37939 USD

"""0x36209FD925f337e75e11322e7a94cf51505E4a73""",33606 USD

"""0x0c38c87f1e4fA16F41999c31347f31819C3f2f06""",26523 USD

"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",22474 USD

"""0xE29624d4B014Bc5394Aa7116Ef815168c9c7FC67""",21613 USD

"""0xA32E747fA0548935dadFe5205158569048818dcD""",20851 USD

"""0xf71FC04D17E9876245807CeEE667B57ADA201d74""",19704 USD

"""0xB959D1ac1f5FA5417860Ad63225AcF64758a2eFc""",18332 USD

"""0x2a4D141cB8Cbee33f0970E3b99cceaD1594f25fB""",16014 USD

"""0x89010AB94a7439B0577B1d62A7606EB5F5F85Ae9""",15856 USD

"""0xaC89441082F20e95248E03ef8Fa44b93372Df9F2""",15676 USD

"""0x8C74a2CAE76b99B6DdEc00711e098835D63B2C44""",15151 USD

"""0x3D9f6DCD969B6588249793A38Ec2905B288caC25""",13717 USD

"""0xBb0B91262d0cc2eF7E99D3ceB59509BbDbe3f8F8""",13036 USD

"""0x552E95068B1807a167Dd1e47c241779c9cB3eBB0""",12768 USD

"""0x9B1bbecdf6409ff6F7cAE9DA2C4d2C7f6b8CF9E9""",12723 USD

"""0xe3dAA564575CF24e48214E766F4cb343A885f42e""",12148 USD

"""0x3F7e24266b2fC744e02D9D68C6Ad62Bfb4aFCA13""",12028 USD

"""0x2C82c377Ff33dA22648CB77DE03EEc48117cDa52""",11874 USD

"""0x5B8F446A79b884E03E2d99D3C48Ee623D141B182""",10503 USD

"""0x867B58eFF122A3faa2C76157159ceF2E09Df5804""",10349 USD

"""0x1Dd48ab2939f7B345b8Ed0BFAe4961eC47930d4a""",10313 USD

"""0xE6c637509224f9a6c3986402F021EDF7A4B1c71C""",10036 USD

"""0x78d92D7532fDF232105d3593613196c57b3787d5""",9862 USD

"""0x227b1E42a76405Dac707982150E9417A2f041A9c""",9809 USD

"""0xd32384c0D5Df08f9B8B49f88e36bF05b4F7f6b72""",9503 USD

"""0xfc90ef872985a951CC7c5e4CBe29dcbc3a7F80d0""",9304 USD

"""0x79b2b2FAB47DE351B8eBB7B461ef120425Efb259""",9131 USD

"""0x4dEC4B8a2164e9213a82f3FCC045b0805A53d7A0""",9029 USD

"""0x35365672A856303149798ed51f6Ff44527AeAFC1""",8573 USD kokomade

