Address,Balance(USD)
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",188760 USD
"""0x7Ef193b895AAA9fae875c9E3A4b0C8FC48E93cD6""",177758 USD
"""0x9608cc59b1F61bcf3307B5deE044E013dC4529eb""",89280 USD
"""0x316171f28E9D77fBC19BC86107bcaFE08844603f""",62940 USD
"""0x9E4A9b4334F3167Bc7DD35f48f2238c73F532bAf""",61889 USD
"""0x5b9B7A7Cf35dA529EADF862C83eD02bA8a0bC995""",59190 USD
"""0x62003fBd01D7C43D599f060E091a335B48D99209""",55347 USD
"""0xA7B5cA022774BD02842932e4358DDCbea0CCaADe""",53611 USD
"""0xA556F623c5009158c6d96c64729C52a24702c8d9""",53511 USD
"""0xF3385c8aa17C3c145588f012AaD8F616e1456614""",51406 USD
"""0x00FD69F75458357AE19240084d53D375E16E9CbA""",48384 USD
"""0x28Cb85C65cF27710E4419Afd79F33949b0D16560""",23181 USD
"""0x4A401Ee7Fef089CD20D183fE2510d7BD38294728""",20910 USD
"""0x502c4B31e10c7FD8056cAA431E396EFB691433DF""",19202 USD
"""0xb60b0adA4C9aC97CfFC84c46d49A0F423c7d181a""",18502 USD
"""0x6552316697951435772137032762628463705058""",17857 USD
"""0xdb3be154AeB741867196A918fa2Bd5f704dc022A""",15953 USD
"""0x8bBE911710c9e592487ddE0735db76F83Dc44cFd""",14484 USD
"""0x63f9ccf9A6e31072187A0138Dd89095C7db9571B""",13519 USD
"""0x25548Ba111d4F6cbA0498Ab77a6b40EACbeFab52""",13465 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",11366 USD
"""0xAAb8b72afF49e680E6458D4b9806AB9D1730123A""",10418 USD
"""0xba1d49f8b3Bd2e4Daa31344A8F6c9C325532A5F2""",9489 USD
"""0xAff9C638dcb4D2B351B052D4Ae42a9083eD98789""",8622 USD
"""0xC2Ba37bef087E382ff2deFd36d896b02Ce98b3af""",8340 USD
"""0x4E4cb10310E4Dbe1B9E35395940625AB9eF25b6A""",8194 USD
"""0x510eDDC5FF5667e15B93585e2BD0b8C09D83eB04""",7758 USD
"""0x9aBeC8a2ec6930Ef5b3cDcEFcFA2a9b73eca8992""",7363 USD
"""0x9dc46107beC7B3908BD7c8381E53cBEFad4EEa17""",6854 USD
"""0xCa92187F1EeEEf4AA8C7BA246e98249efFa0F346""",5423 USD
"""0xd6d0a2Aec48f66707aD4da8b21ecCAb94497bD89""",5388 USD
"""0xa21193C9532AEBC038D2c4f4549AF2F86292D2EB""",5383 USD
"""0xb11FEF1F2F8ed6bB12119b794457CBb1F982CbEf""",4337 USD
"""0x3811C4740213e5FDF028E838bFc7296BAC2399dE""",4152 USD
"""0x39d26136bD9B2024D2ef03cbE8FB5F0DdE4d7292""",4110 USD
"""0xF366f5A74e040495337969c6E70de2B334c55855""",4045 USD
"""0x5D7089d7d952CA1c05AC0996dD4A09EE3A45E319""",3818 USD
"""0x458F41606882080332173eB408712f3E39e09C23""",3809 USD
"""0xc31300642c30C9dF6201612dB1A104DD41e5868D""",3679 USD
