Address,Balance(USD)
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",242597 USD
"""0x0cAEc860D19000A5EA8DE443b7ceE8f11f2c0008""",20225 USD
"""0x1E73a484F4Bf700F264561F2DF8b9AEA4f8D27ab""",9084 USD
"""0x33682578562BCa5d37fd97037078A70cdA7cBB10""",5278 USD
"""0xcC3227228E77dAA86D5d95632A5c0db464C95B31""",4316 USD
"""0xe5F89FDb3bC5Ef0BcE47bDAcd598F52E3D98A332""",3694 USD
"""0x2108aBE7142F30FDffFF43Ba355a25bd0f265aD7""",3311 USD
"""0x5018D4fe74b0d4D6d45fbF8b9EDEee20229D05D4""",1760 USD
"""0x6D0f32A80f26f72D57591E8aF889a261DAbE5cF0""",1681 USD
"""0xd52A1E22C35d3ED1860700645491633cCD36E43D""",1184 USD
"""0x8A8D99b60a4E67dCa0017C11e905809a565021c0""",1128 USD
"""0x4e8C85EAc6aB9a59B9b16B4F8aD7C94EEa0717ea""",998 USD
"""0x33C7C8A0294697eF57Ac3d31c4B863bE246C665C""",671 USD
"""0xB81d05B1b27474571f20e85366052Bcb268DFC7a""",278 USD
"""0x9742f4e30cd10F2CE937E6e737Da4445662Ff2A1""",229 USD
"""0x5D414e7D53e09839CE417EE130C814b7DAb8FCBc""",215 USD
"""0xeB82c2Ba03F0f7B9C37E674A007248E3db42a282""",183 USD
"""0x9965Ec9708C27650Fc8007642Dba5ff3368F1f2E""",160 USD
"""0xBA0e44918440DeB1C78B18Fa9669E40C45EF8Fb8""",134 USD
"""0x8D63BB2AC9A569712a357b26DFb70A8C1F4f077c""",111 USD
"""0x671613cAC4e34349290e0fd4C2AE79396E0916d8""",60 USD
"""0x831114051c0edDe239ae672EdcC4c63371deC82b""",31 USD
"""0xB0Fbd001e7A6f7b38538be93c1813f537081e485""",28 USD
"""0x4b79ce15f5c9273E352cbDCF3AF693CeBC6d539E""",15 USD
"""0x15Cd32F5e9C286FaD0c6E6F40D1fc07c2c1a8584""",14 USD
"""0x44A7fb23aE77a45eb6DA443DBAFfa14b5AF007F4""",13 USD
"""0xF7b473b5ECa831f9adC4d297f053F359dD7420B3""",3 USD
"""0x52747Fd7866eF249b015bB99E95a3169B9eC4497""",0 USD
"""0x43E60737083b80fC95Dc9C57bCA1a3884133F603""",0 USD
"""0x9C797AAaAc7315f38657602e2B350692036D91df""",0 USD
"""0xA1301B5ecd3d0F2EA99e3B255B4F1Bd8C375a147""",0 USD
"""0x220f83cD54aC4baF8D450ea44EE10AE2FF1CE913""",0 USD
"""0x16bD168c44b7D17254a677d17185237AAcF8c36b""",0 USD
