Address,Balance(USD)
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",281885 USD
"""0x07646C79De3c4451bf73B322b199b9977CC0Cd8d""",132711 USD
"""0x4339889FD9dFCa20a423fbA011e9dfF1C856CAEb""",107370 USD
"""0x79b7a69d90c82E014Bf0315e164208119B510FA0""",81183 USD
"""0x7594F15D27B58C04B82C3891e6f5f4488b2006e0""",61003 USD
"""0x919C1582e8ccE56A62b7046c48Eb180fE1cc0d62""",60345 USD
"""0x9E4A9b4334F3167Bc7DD35f48f2238c73F532bAf""",57243 USD
"""0xB722E4d12D4c0ec0309856e32C4F7Df9C05a11fb""",55829 USD
"""0xa6Ae57b1dA8238Cd149bC718c40578E4620b752c""",53730 USD
"""0xb58555FCBa6479FcED7dE1485eB054943a09af7b""",41829 USD
"""0x953b239b656f611b65F86e0e6a99E6b500f6bC9a""",41202 USD
"""0x0f9476D139988a61c7150f3fe36a16DD0c12eb03""",37911 USD
"""0xbd098e98C0B16b7BbBab90CC6f84B1c5595F4a95""",35144 USD
"""0x31fd0cDb7A2A8fCbE4464348E7ad13c5AF02466b""",28982 USD
"""0x1A5Aa7218e945b37Feb7310753b8A9035E14F30f""",27620 USD
"""0xbd6B8D8fA94f7307840252548549b56a33c98054""",27448 USD
"""0x68CC21f7c777243D1A9c71C2349BfdccD8Ca7B78""",26523 USD
"""0x57e6B6c45baa2bDE06255CC654f2b8024287E21C""",25206 USD
"""0x2a878245B52a2d46Cb4327541CBc96E403a84791""",25164 USD
"""0x21F14f64354319854588B47e8438Ae134691B615""",22474 USD
"""0x78c58f2C058b296578d6f0b670be591993489918""",22166 USD
"""0xDc2DB9a714a2615699C743C20812644B7766A743""",21718 USD
"""0x58c79ed2843B8743f4c7025E66B84C979596066A""",20603 USD
"""0x320702e9707c26468F784B5b0d8C9a61eb02c25B""",20221 USD
"""0x5e9F43CFc34d5139F24c99b014D25583F667d7a5""",19829 USD
"""0xA67C8970f1a1d98257A2E32FBECf307BbEc388c0""",18497 USD
"""0x164f24087bc3461917F71c33c6F892198CC92B9e""",18361 USD
"""0x6fb9Ea028eeCdDc6f4845194Ab844131A71279fe""",17771 USD
"""0x6e12a07Da39c2732190fFe47b2e99e5F21215Aec""",17624 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",17472 USD
"""0x7944E84D18803f926743Fa56fb7A9bB9Ba5f5F24""",16751 USD
"""0xB4c54d5be797b45DEe2484Aa442894f3332ff88C""",16620 USD
"""0xb5eaaC5a8649142dcDd13F981767913bcDF7ee42""",16618 USD
"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",15334 USD
"""0xdA169e5aD38b0BC51C03F8c4D512367F29Bcb84d""",15170 USD
"""0x2CaabcCeC6232b9C3c9EFcA9Ba061d1D98198287""",15112 USD
"""0xb8feFFAC830C45b4Cd210ECDAAB9D11995D338ee""",14891 USD
"""0xe2cA3167B89b8Cf680D63B06E8AeEfc5E4EBe907""",14481 USD
"""0x4c61d468c05089A409bE97cb060cAa47Bd8249e7""",14237 USD
"""0x2cB0D9816223C2FeE4c2e5339618cD0347DC6A66""",13562 USD
"""0x971aC48e6F904406edBC22687ED92Bc8966fe551""",13391 USD
"""0xd11495ebaE0DB2C38D84962f0a2eA9677a12CF5D""",13380 USD
"""0xe91ad32D470465aa46b0760C077A5463b2551bF1""",13011 USD
"""0x0469126725396611912227009233E13700b0E20f""",12866 USD
"""0xcc5681fE9817cB6C8043D26d93845E8357acf45a""",12807 USD
"""0xC1df82752eF5B2b7371D131e08dAAF5b00c40759""",12621 USD
"""0x247cAF4A0Ca130268201A00b794A326f9DbeBF86""",12320 USD
"""0xd985c35F566c9De55Df16ADE36852b0C40f4bF59""",11375 USD
"""0x0272Ec6B528511f6D6d10F034dF8eAB8eC2e6feC""",11228 USD
"""0x49BCbc58848AC642B48f3D824D8b728a1045D08b""",10901 USD
"""0xbfCc986cA6E6729c1D191cC0179ef060b87a7C42""",10767 USD
"""0x83b4F74296738d8C2e15bD7c1f4a19Df122354f5""",10539 USD
"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",10441 USD
"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",10440 USD
"""0x111206594F2fB5927f719b4417Ab1DA3D41B14b1""",10438 USD
"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",10435 USD
"""0x1113eFd5C8896CcF251EA360bB9d91F113707F80""",10409 USD
"""0x1111E3Ef0B6aE32E14a55e0E7cD9b8505177C2BF""",10364 USD
"""0xF010306661d162B257F93dc8902A7c79DB8A3280""",10213 USD
"""0xD15269F19b6c090b23beEaF27483097F307983F6""",9397 USD
"""0xED6630978b21930049A244C559cB10327b5FAd37""",8379 USD
"""0xb720c31d4CF1c730f21F6e59AA20FC65BDb7aCF6""",8209 USD
"""0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16""",8021 USD
"""0xC5588a55FB16ef2B491870794B8e072760c46075""",7640 USD
