Address,Balance(USD)

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",279342 USD

"""0x8095B77c87E3E983EEea94411325e371bB0Ce087""",33829 USD

"""0x3Cc729E9CD6521E3e97CfFc17a60005f1e78e5Ac""",31675 USD

"""0xfe0ba729Ee39dE11a26FB91Eb3B031C63f976dEE""",23300 USD

"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",20250 USD

"""0x67c8a76D32F8bA63F35c7d74DA268229c461d78f""",19900 USD

"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",17032 USD

"""0x38DfC9cd34b2f686914a48C807c30BA176F3C7A8""",10962 USD

"""0xaaaa9f7C86Bd07FDEEdB4C6F30666E6642573d64""",10646 USD

"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",10439 USD

"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",10437 USD

"""0x111206594F2fB5927f719b4417Ab1DA3D41B14b1""",10435 USD

"""0xfEfea9427Bef554Cc572bC4E887a0b9642fd8f4E""",10422 USD

"""0x1113eFd5C8896CcF251EA360bB9d91F113707F80""",10408 USD

"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",10391 USD

"""0x1111E3Ef0B6aE32E14a55e0E7cD9b8505177C2BF""",10363 USD

"""0xdA35c62FfdBDB8e1c9ce4a13E99Bec5190F0B012""",10216 USD

"""0x448E0F9F42746F6165Dbe6E7B77149bB0F631E6E""",9102 USD

"""0x32a7B7bD283ecce836C6ABfb026340b1e15096ED""",8718 USD

"""0x42A4F9dD84e0C505241695b606c2B431464283e4""",4619 USD

"""0x0F398cdE239461AbcefA96d713653377431C95b9""",4463 USD

"""0xAbf864065fdEB8996eB5469d6C25aae84507d231""",3922 USD kokomade

"""0x4796915fcdb4e480F6dC88A42567688183509e44""",3121 USD

"""0x1285b5a660a430d607726896FE0c9051ea5d5271""",2979 USD

"""0x65DD9ca6501E01Eb286FE43178Ac3a8382e45854""",2614 USD

"""0xc873B7321e79597DD75A371CC9de7C55cac128CD""",2572 USD

"""0x151F441c27734e78544697E4e1D4e5A77837E6a2""",2377 USD

"""0x08355D9FcC6575a115CD22B4ad75CBb270Eb08F4""",2178 USD

"""0x75DE4AF3B9c4F27390Aa57ece7D1Bd8e556B0f67""",2059 USD

"""0xbaAc031B25A99BEbDe35F53dD16540b506796130""",1946 USD

"""0xe4272AC52Eb4FF82414d3312ACC7f4D607FBae03""",1919 USD

"""0xFfEDe2663d407434C097156b5C36226DAeFBbf04""",1908 USD

"""0xAE5195823004e2654FBc39A1A8719b62264C6171""",1846 USD

"""0xF41446B54F80A5F56aF8Aa74BfBd1d0103f90E80""",1845 USD

"""0x0dB1E905E2433d40d64BF837A64BBf6783cEeDc4""",1816 USD

"""0x4dEC4B8a2164e9213a82f3FCC045b0805A53d7A0""",1797 USD

"""0xEbd82578645415BD2eda83af71C8e8295B5e8F4d""",1737 USD

"""0x6fAe3FEFC057e6C10cB1aC0C910990743d0a245e""",1717 USD

"""0x89a3eeDD7D92DBe48946f0eb6DcE759a64840471""",1696 USD

"""0x0DaA353602E4E76e7c13C8faf4C0e2fA1E51f72B""",1684 USD

"""0x07432d559Fa617b6e23a516f9A6187440FbFB086""",1629 USD

"""0x4DC7B48aaA6210814BfB1A6032dB50B4E1077F54""",1472 USD

"""0x69a4534C72fE55D0C5bc4a44d2aEdF944D649D09""",1441 USD

"""0xB7d691867E549C7C54C559B7fc93965403AC65dF""",1352 USD

"""0x7875a8d39EAb40Bb57F3505508Bf4F5cC6C0B3d3""",1348 USD

"""0x1CAa2494A03E9d918994ee88a12119Ca96847439""",1300 USD

"""0x3E69D23c76b71785683378FA0e569c252BF24876""",1252 USD

"""0xf6aCE56ABEcBc8D9Af8c9356fb492F78Fb0b2C86""",1236 USD

"""0x5597E691f7C8ED463A00aC97319918C202633991""",1191 USD

"""0xEd851E183049A53CA996C42C5B15Ac655BA40e6B""",1064 USD

"""0xa46f64Ddd3f7f7Bb5530cfA55087a573d8979836""",1014 USD

"""0x137664C5860bEf5d1B0A20f4C41D3d7DB53C0f2d""",980 USD

"""0x00063dDB30be7Bc2292583D5f143E9d6E6228440""",974 USD

"""0x4B73fB641cfaB41321b0de7cC1eA2755d50be9c7""",945 USD

"""0x0992ee967aCd2c8A8d6f42a2623C6850028Bae7E""",874 USD

"""0x07F305532047427ABca7B477007c670348385B8e""",803 USD

"""0x01110192E68c70b55d7c8d0B4d96109555c9BF20""",801 USD

"""0x42668B7F513102c4d88c0b1B2246A5444Ef78Dea""",781 USD

"""0xbb6AB3CF7cABE055a96ca165421927305eE4d30B""",778 USD

"""0x0A24C7547dd14BE2F502D354afD224B226d177E4""",747 USD

