Address,Balance(USD)
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",229427 USD
"""0x9E4A9b4334F3167Bc7DD35f48f2238c73F532bAf""",73177 USD
"""0x9fAb989454AB3FD2dCd4F97e46e574a7A015cE6E""",70350 USD
"""0x9B921faD875b06183d3992A125026c89915D71F6""",57631 USD
"""0xE2Da7FE4f82aF891C3D23a7EcaBD1f7d7562bF09""",48125 USD
"""0x1434Ba3759853Ee9B390ffB60323cE2EeB37876d""",34529 USD
"""0xDDA7C6D72F7f731e1E8523cA51c03076848Ed432""",25635 USD
"""0xdD72527cD9265013952Ad33825b35aB66E93bf3B""",24888 USD
"""0x02c749407b8470aDDc5f261153EC0729633cf4a8""",23843 USD
"""0xda1E4d768AeaF05f343d9Be5F7e9B91E5aD72805""",20922 USD
"""0xF65c437690E2D28fD460898d73E7250d8B014F0D""",20359 USD
"""0x67f9bB828745f2aEED04BfEaB1B7527B130b5C78""",19574 USD
"""0x84a21710101Bd3227ffeE5E5e7daa01a526037D1""",16839 USD
"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",16580 USD
"""0xe8D3c311912513aE9Cc34016db69Eae9e9F4E2cC""",15240 USD
"""0x400545260147bb08e64e326b9CAa61B4c4B770c9""",14579 USD
"""0xb0FaA66D671067Ff2Fb3d347b0f4f257D432e6F5""",14525 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",13917 USD
"""0x270990d832C7E0145e62e5BdF7fCE719F504D48D""",13686 USD
"""0x961678B9552284E82D0D6b25D475674a17e1aaaa""",11271 USD
"""0x2007498C97e16E4F830dF2dB1E9435Ea61150313""",10594 USD
"""0xa7C61CdA7039cf1a6a4ff5e53b01491A8b239095""",10280 USD
"""0x6c8094347E451eD0c3dEFEA1eCef71747fD80a09""",10184 USD
"""0x1Ea28d749BeF6a925a374EA118C330523A12ab5B""",9831 USD
"""0x33372A300FB17200055A680CA418575455498235""",9450 USD
"""0x0000000000234A48603574189845c2D27028DAd3""",9253 USD
"""0xF821b44032c939FA9d2e411DC31f30a5a786968D""",9225 USD
"""0x5673AAc3CDa19C1B37C96220C7d0665c20ADcd41""",9073 USD
"""0xaC65e5471aD6fa25A6b176397510eccd87aF4fCD""",8487 USD
"""0x598F9EFB3164Ec216b4eff33c2B239605Be5AF8e""",8372 USD
"""0xB81e23797D285d83f4E0a9FBe6ed88f5db0ce6c9""",8106 USD
"""0x38790dEd09b38Df2F558FC040ae7A2B060B38FB7""",7773 USD
"""0xd6Ea485B803E8473d47985c26220bD1FDC67ec39""",7516 USD
"""0x59629E23C52A0d7c092436870EF2db1Dc382DDf8""",7360 USD
"""0x8964C2be427Fb080F9AFa55eADCAbBeB41DbcE12""",6261 USD
"""0x93eB979710AC9E7882C37477391554dB9ce2D08A""",5945 USD
"""0xdebE8aD4b74e7e92be7A15646E4C432dd8c6fD2A""",5816 USD
"""0x5fc9678643004992E120FE8e4903B9052d455950""",5812 USD
"""0xcF5EF96EdB529dC6F25A78bd6cc13e457F5FeD85""",5522 USD
"""0xA31c87C9498Ca42bd404DEf70114342d19ad342a""",5508 USD
"""0x78C5d6665a78e82e1B485f1A82ed0d9aB01E41b5""",5356 USD
"""0x9195bCD64d01C55a495f67364fF1d24C9df59540""",5352 USD
"""0xa207E7FC9Ea6ab628115Fdb64b50a298fb046EBD""",5225 USD
"""0x8FF96BfAdE7Eca2cB1FCf6470b9204ecC64f683a""",5122 USD
"""0xBa76CC89c29d155780a42965410d29CF6B272e56""",4958 USD
"""0xA9eB50f7548e88708f7F212AfA58d27293fc1107""",4746 USD
"""0x128f551D74c9693C2467376322c889A2E7B7FC3a""",4597 USD
"""0xCBB008D4d2d6c32Ab1B6F889a7f25F0326131170""",4538 USD
"""0xeB44dA1A4C4805fdD506CBC12a5E20e499a8Aa2B""",4495 USD
"""0xD3259e9B74ebe3D8bb4B9223297a0D654Ad01183""",4304 USD
"""0x43872df79B62A05b209f06b96DE037D2E5e77d52""",4245 USD
"""0xaC8cAd08B4B71fB6f4383819C080d23f6d689544""",4151 USD
"""0xfB4cB868727D9622258bf2B26A8CFc95f6742669""",4054 USD
"""0x42aFc0920fF18a29E70e287E5834461241b385a7""",3970 USD
"""0xEab207dDE8fe890A3eA6A5182CE05a4F44ec536c""",3803 USD
"""0xa1b2B41595418410bdd84f78A52B301586AeeF06""",3673 USD
"""0x4593E145dcDed8D3DEfEebB5867a767F99999999""",3587 USD
"""0xF53736382fB4cB469a50094fC9133852fB9Ec4EF""",3332 USD
"""0x29F33C22DFA42a3Bd76A905E4af70604c4d6F6F5""",3324 USD
"""0x821966c97a34B466e0ad790AdA96466655e3eD5A""",3285 USD
"""0x6389d938cA6FAd36c53141CD679CA1aeb3231823""",3275 USD
"""0x464F0fD1eD9523E421031Ec2aaE44697992366dF""",3203 USD
"""0xCCD88f2d93347E6BB5bA743e0fC2695FF7DF8D92""",3082 USD
