Address,Balance(USD)
"""0x72070eBe38772a1347099dc750139c2570f30238""",269271 USD
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",268821 USD
"""0xE9210Ee7385acFD97b4b71Cbc9bdf42563CBB7B9""",15691 USD
"""0xD5B984611eba521991c55ACc58D5d35db18F33DA""",14997 USD
"""0x0FCe65e5f8dB17e0ee90D2b4Ad1782035F5F0d9a""",11813 USD
"""0x48412BD486C2d65f5Fb2c3248d1d11D330c7a59F""",10719 USD
"""0x3148E452453082687E6d86870224c890207E711C""",9839 USD
"""0x8E0399c9D631a390C19B32527D9a0A5Cc641bfcD""",9762 USD
"""0x8cDEb8E1B66c417fD3B6E2C595E3f646A0cffB6b""",9338 USD
"""0x249A0603D480214c99C7F4405a17FAbA105FEe88""",8742 USD
"""0x2ba079c2f4b0BD39d67665C1Ba6040f7F393Be4c""",8622 USD
"""0xdeF44E2AB6c0A536c44a9852fef80f929345aEb5""",8569 USD
"""0x2B746677d9Ea7F8f8f99c7689e5E3072D918658c""",7880 USD
"""0x551D21Eb2c869Bccfa3A9f94426A6877F9Ca6203""",7647 USD
"""0x61073Cf36fd3837525F23DBB79e56167a897d1D3""",7603 USD
"""0xFc0669C1Ec9bB0522bD89B956463F254A7Db2d0b""",7476 USD
"""0x8c43cbd09dA5AbeC964d51D8c37bFcD56A249b21""",7310 USD
"""0x3377Af6f20A11b10fE405b69A9EdB31382958980""",7145 USD
"""0xDB688793A29cF57046E7026939E2Cc5e6F621371""",7079 USD
"""0xaFa4E20D80e528f3983815afC478c590Fe489197""",6969 USD
"""0x2A41a3072c0e74544Dc9A5C07bdd8009E5CBec4C""",6680 USD
"""0xe29714c98E6B290CB5DEA2d1c26a2BAaC6711A54""",6524 USD
"""0xdfcDEf51eb0d6A2769Db7a361eeCF218B20D1475""",6396 USD
"""0xF74FBbE0b88EC3e30D4677da41EC16932f83133b""",6227 USD
"""0x593D3627B85b243339AD4f7519Ae85CebB6D92ec""",6160 USD
"""0x89Cbd9C599471911A82747eBb272A3D2F528b1a1""",6088 USD
"""0xE2A21836478635A13f45D0820E1095D779d74E39""",5846 USD
"""0x816838F2E83B821F2552162204944C433831ff47""",5826 USD
"""0xA05fA31Ff4BcC8e1389836cae2C96c35b382b06C""",5708 USD
"""0xA345C14f1217054710CE893e4C227f19803f5d29""",5567 USD
"""0xCd2310B8e0aCeF26C260641801AF2fFBdd54F4e0""",5497 USD
"""0x74725C4D9d9E395dDBAECFafC927D8bcB97Fa5a8""",5308 USD
"""0x4D3B94Dbe8547c3db4B8A4322DD11159bCE442Fc""",5254 USD
"""0x62861b83F70e95077f1984cED63b407c4a7dBf13""",5101 USD
"""0xC806Ba6Ba667BA12bFfFEE1F356f56Bc68a9Ec58""",5061 USD
"""0x09DDdE5a91a2c0d5Fb6795F1ffA85132b64CE8Ed""",4853 USD
"""0xf6551Fa6644275713d2B900f341FA01FB29eC63C""",4744 USD
"""0xaF7772be0190b4fe6e2eaCA54b28C7954a9a3B9D""",4667 USD
"""0x3427449E3dE74b6Fd04043ab9FC411D77122200e""",4253 USD
"""0xD381a9714A9717d01C870CAF3dEdEe397cFA95A8""",4147 USD
"""0x637b00bE1cE8F71c7B9E373c8aE3d281e47AB8e1""",4060 USD
"""0x340618ce961dDf81f6169a49d21c2F89271c172A""",3897 USD
"""0x2B44a2B6DED23e23075E3f704f1cFaEa3A434F9c""",3715 USD
"""0xc2f896a3de5e68826ccd7eFD67b71b5231B01b2B""",3600 USD
"""0xA40df7957EdB1FA3d25386cd5Dd682B8909F34f7""",3539 USD
"""0xC745366c1591bb0BEb22f47C970142Dc4ADf199b""",3500 USD
"""0xa4af56dE86bc292A812468Fe685EB71Ab4f0468F""",3459 USD
"""0x45dd5Ac98EB2998C4028a955A11E9D841acfd0bA""",3262 USD
"""0x2F6155f752C04d76DB6Ae6Afbc8FFc31f179C314""",3218 USD
"""0x1c02f5dC20A1B2a0644F59a0bcDCbc4A22A76A46""",2631 USD
"""0x8bB9539E823647933b3692e5e1942a4bAd1Ffdc9""",2619 USD
"""0x72E4D2c6E767c53a0815676D3C487c744FC9b95c""",1649 USD
"""0x361130008627E2D18Fab69efA33Af47161292577""",1509 USD
"""0xd3220713f15EA88Ee5ebcc2F9B60296471d1bDDf""",1448 USD
"""0xf040e22E04D92dAe663419F574eFf7CC75BFb519""",1424 USD
"""0x9C60e5Cc2b9C017B693446BeA871F86DEb00D556""",864 USD
"""0x4DA2b8919089B45A57713145E62cB3963E14084a""",40 USD
"""0xAd7d9Ad8827273ab1BaaCB65812FF3B65e97F2ec""",20 USD
"""0x25560B59723376F1A623Df1Ed74b69986f623e25""",0 USD
"""0x9Af751812d8585f7BC1B671aCb1085779BF48DFA""",0 USD
"""0xeC056DFc899a5BA3388A6027BA0c6432d0c7488b""",0 USD
