Address,Balance(USD)

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",247660 USD

"""0x711281C1b26AaEd86E40e4cAaf76c1962B45E161""",72137 USD

"""0x6F799f4bF6c1C56FB8d890E9E0FFF2934b0dE157""",57827 USD

"""0xa6Ae57b1dA8238Cd149bC718c40578E4620b752c""",44911 USD

"""0xE45c1b33E0BF2225117DF2B241b2736761b67c6D""",42541 USD

"""0x25a08D6c68183a371fD6015a28ad9a0aA57a9c57""",42159 USD

"""0x509076DfD28bC819860Cb696A38BBe89324D1C11""",30206 USD

"""0x55701A8a8f3BB87dB53B38a9E27Df23E85D024ab""",24296 USD

"""0x06D9Ca334a8a74474e9B6eE31280c494321Ae759""",23098 USD

"""0xA395DCFaC017afC771Fda1Cc2424cb72A84725f5""",19912 USD

"""0x17Bc55276D07E506851FE0F1d1597f7f0B875eb1""",19422 USD

"""0x7f93Dc22fE89d459E733dAf8B63c94eE4E31EA98""",18782 USD

"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",18057 USD

"""0x600D628A32F364017BF554Faaab8A7683EC3145E""",17925 USD

"""0x2F9638eD74A9d9c8E343e978c5575b5a64D12ac5""",14742 USD

"""0xa4c0497D6630903fBC9b39985084E570628a1a32""",14025 USD

"""0x149c5af238267F6e3a1745570dF1280f939b4A88""",13071 USD

"""0x99735E33Cbe1261621E8f426f458501483E4d165""",11408 USD

"""0xf3E6a2098F6889cEAbdC541F4577242C9437F9DB""",11228 USD

"""0x1e9D349CeC77FEA6481F009593101d0e20a69490""",9828 USD

"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",9455 USD

"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",9441 USD kokomade

"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",9419 USD

"""0x1113eFd5C8896CcF251EA360bB9d91F113707F80""",9382 USD

"""0x8CcB98122f0e29D69C083E863721E2F4ed5cCe0d""",9123 USD

