Address,Balance(USD)
"""0x116b5399D4eE6882C1ca7553cC94Cc9E644C9290""",7355 USD
"""0xf405c9680B4487912ae7C87ef10c41c20dBaD4ac""",4665 USD
"""0xe94e177D7ED248f8027D93f548C79c089f6F44D1""",2041 USD
"""0x12440292CF1ADBFdA30f5e03d7F57Ec8ce58dAeB""",1584 USD
"""0x494E35c0A11dc16a109fc161d785385F874F2359""",1471 USD
"""0xbF04c4FB3ecDF69fCa75409A24FaF9F0a82e7287""",1450 USD
"""0x63E4b4DE9dFCCa9bbe4276950E4c758f27C152D9""",1047 USD
"""0xe817de8eCd9501944c33D86d71C54758835FC926""",1017 USD
"""0x0e0179B47f2ff054FE8177De0d434685B128847E""",877 USD
"""0x5264D7cf45c9871f49b19a6934eECD0780dB0Bff""",833 USD
"""0x2Ed7a7dAB69c288d83908bEbdB7E42927A5AFfDB""",731 USD
"""0x2df993CD76Bb8dbDA50546Eef00EEe2e6331a2c8""",655 USD
"""0x4368801D15825a723262a720EF8F07fdB97A8844""",618 USD
"""0xdE81969848C9d9dC575D2DA2Fe204C336F70f7BD""",600 USD
"""0x38E296a1e2832Cbb747A13a8B4bD4E10754b66c0""",588 USD
"""0xbDa7615aD749199CAa1156010f23738549cDEe42""",551 USD
"""0xB16Bd87c93652487315Bb0676192ab4A35736dF7""",500 USD
"""0x4685D1DAbA6201103B5E7781ec48389035C5c51C""",374 USD
"""0x82Ff68eA40e066D57DA77F6Aeb8Ee9fc29cc0e2b""",362 USD
"""0x97cF0fc18686B63bAF8d4F6265a78bB25C401b6e""",350 USD
"""0xfc6555d0CC14E0dC07EE9371f957CB635B9a3Efe""",334 USD
"""0xA8f64e0F4916c234a4A12B66801c70205Cc81252""",333 USD
"""0x7bdd7905209e1efC5c94A9a06BdD949Fd82c36B4""",321 USD
"""0x06a4eC071ED0B6dFB6424e9e38FaB8eEF12E4CfE""",321 USD
"""0xB2056134B99E73CBE297C94f840f64CE6c003C8A""",267 USD
"""0x631f462f340821Bddb1435db54EDa903Db91a2BC""",264 USD
"""0x9f7027595f9F29c69439a00bA592186a51a15f0E""",256 USD
"""0xB40Ae407A5bb8d60C697eA21F83f6f3b2E833eBd""",244 USD
"""0x2d531726BA1808a40eB3f4Ca3d31a91C26149EAD""",212 USD
"""0x3142671Bb88C475dd649e4447EA169435b10489b""",207 USD
"""0xF10FF6c03c5f951C9A4d02cb0Dca51BA442B095E""",177 USD
"""0x4b30a0Cf882B4395a192878400754BD212Cd5B8a""",170 USD
"""0xf37E891974A84e3a57dDB633413192cE50694fF8""",110 USD
"""0xaf7eBE980EAa1414cc2fd241D94DA282e53c65d2""",96 USD
"""0x42efe4DE1A2F442596D637b83CbaCAFeBa9dF678""",93 USD
"""0xC3057B4F07e20CAaeF063075D05344C9a9E0452e""",91 USD
"""0x3B746901Fdcd049aE976Ee73086AF5284185b8ac""",78 USD
"""0x00b56602B587CE5d5DAFb1eEDA3C76966fE14a46""",76 USD
"""0xA42E6ab660e07bBFE4C00c7cfF2a9b3969A6d396""",72 USD
"""0xD0Dc7D5Fc7904c7C548383c08A192605EE95E452""",69 USD
"""0x9F67509404DeC976506faD264aEB3B50a751E3b3""",62 USD
"""0x9d28d993E3aF9eC774349FD1Bd39fBa3bbA8d08a""",57 USD
"""0x92B2eB8Ed9cA7ebbF4ED47BEcfa38437922fA329""",57 USD
"""0xA6f0cB3d062f8ae900B9231bB26Ba2deea1a548F""",52 USD
"""0x6BaEE2d343B5a46f821318df9E5A7A16b3aA2437""",49 USD
"""0x73dDff8564C137686EF1E3eee69870B3dEbb0FB0""",47 USD
"""0x6690ab99515749Dec9E94c7d1D9F590e7a0Fc22B""",36 USD
"""0x4Ef548719623d2D99Ee2B708Ca50Ef27A91b5bc2""",33 USD
"""0x70452d174eE8F052Ef38434875df4e82cE9034C5""",32 USD
"""0x6bcBcb595284ADBAe2c60b8936A19FF9fB40B938""",32 USD
"""0xF123f854F32Fb3A03089C2A343C094b716629C59""",31 USD
"""0x01AFA98be50CDF058E74EC51e2DaCdbB84657F42""",30 USD
"""0xFD8E80ea901234d68AD9DDFfC7d133FbDc05B0cd""",29 USD
"""0x76A00a6432A40f5fa12c4d08Da911c670905E6C6""",26 USD
"""0x5319b7A106bD19b198092210c0434cB87aab80ad""",24 USD
"""0x5032E1Adfa8527c077224a06A7849DCf77d2Db1e""",22 USD
"""0xdF74a20847c9e8F1748b9a8d69FE883568b863C7""",20 USD
"""0xe7B278AC0f4B9586971255bf4d510378a0B6FC6a""",17 USD
"""0x037dA0bFD5801D1a8da4854e8898B50825a30962""",16 USD
"""0xAc41186654Ff89bF639F869bdD8941Fa28729Ea4""",16 USD
"""0x772910E887d69D9618BDA146212C8D924ff107eE""",15 USD
"""0x622deF54E478F8b1EF78C2Eb004b491110fc99E2""",13 USD
"""0xFF468CB6f798e65d31a2Ec56Af67Ac68f704643e""",13 USD
"""0xb2C016480713e27D649E143c29aA52A70d339840""",11 USD
"""0x1Fa8adB23B073EB525bc35901F8DD2aA7C3bf27A""",9 USD
