Address,Balance(USD)

"""0x0b8F4C4E7626A91460dac057eB43e0de59d5b44F""",2095685 USD

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",294513 USD

"""0x16F036bf563975032d887dFB98e94A644Ee06F04""",163810 USD

"""0xF611c86c4aD508dAeaB1B03E9fa0a1a3aaf3a042""",78268 USD kokomade

"""0x04192b74807F697c4e78f4EA1c727f2BfCbfbC04""",58024 USD

"""0x46b1894D336286437215392A17A2ac59C7cB5b1a""",47308 USD

"""0x2CCeFD1a2C608D9d277463E5cC402ac7dD27C180""",47062 USD

"""0x3511f837687Ff7272A39a231Cac1452Ad71141Fa""",43547 USD

"""0xee22294e77C04338Dc5bEd295bBc5FBA0CE5F23E""",40488 USD

"""0xc452D63327244f0321239619df77B2DaA2943c19""",40217 USD

"""0x6f6D9c36DdE1Fc3B8fa25Ebc8E06D8a36e3AB24D""",37347 USD

"""0xAA4Ae5522705fc9181ed2245136f5c0d1455323f""",36426 USD

"""0x13e8c6E4A9272237Bf511F7b259dc425a42ae8D0""",32848 USD

"""0x1A5B87FF2e576B0A4605206c262A3D793BaB725a""",31705 USD

"""0x9c775669d78Ff321b35796BABd19987BA5a91FD5""",27912 USD

"""0x2E86cdDA1CB4BAF3aa15A0D878C368f10B70Ad57""",23831 USD

"""0x966c5496E978621B24DB1177187ff1F9a02F4B9f""",20832 USD

"""0x1D283807630fFB876A5d78B8e0788e491449F241""",20165 USD

"""0xD7232a67f45bC804349422c17B1aA8aF9F6330e6""",19563 USD

"""0x1f916bBF39aB189A9E3d9E1823a7b1A8e9e5f204""",19447 USD

"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",17129 USD

"""0xef16C3d8Ca747fb306e4420CbD5E0eE53156B0d3""",16988 USD

"""0x80a02dca0EA2B5A07F6aaE552E0949929259c32E""",16933 USD

"""0xD3c1e839be4A9c52de9669c4F8E8af67104BA21B""",15997 USD

"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",14223 USD

"""0x3143EE1f0178ce64dfbCE4858c6Cf6BA7809E715""",13076 USD

"""0x2302e8505354918b9693cf3722B18ECc17910039""",12302 USD

"""0x1757DCb667d7D1A1142282A05A534d52C4391a7C""",11580 USD

"""0x49BCbc58848AC642B48f3D824D8b728a1045D08b""",11513 USD

"""0x1739B308d2232f9987975298c4459b5e51Fa272E""",10992 USD

"""0xc252cEEc3AD24C47657638C323D96249a9f1b42a""",10977 USD

"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",10515 USD

"""0xF27696C8BCa7D54D696189085Ae1283f59342fA6""",10506 USD

"""0x111206594F2fB5927f719b4417Ab1DA3D41B14b1""",10497 USD

"""0x1113eFd5C8896CcF251EA360bB9d91F113707F80""",10487 USD

"""0x1111E3Ef0B6aE32E14a55e0E7cD9b8505177C2BF""",10432 USD

"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",10359 USD

"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",10313 USD

"""0x55DCad916750C19C4Ec69D65Ff0317767B36cE90""",8970 USD

"""0xb720c31d4CF1c730f21F6e59AA20FC65BDb7aCF6""",8382 USD

"""0xb5DC07e23308ec663E743B1196F5a5569E4E0555""",7569 USD

"""0x1e9D349CeC77FEA6481F009593101d0e20a69490""",7460 USD

"""0xd66570eDCdAde24eDda902B28F2172e9Ef8395dD""",7189 USD

"""0x6097daA868F67A1604273046Efc9D3A44dEBad0C""",6666 USD

"""0x8AF4725aFa3FB2D137CeCbB7A9b7D4BD202e10a1""",6610 USD

"""0xFf66acbE5969f6baCBB4Afc33E1f2C19eF74ca22""",6491 USD

"""0x23583b8104C11F3C2fB30Cee228170FcffAaD0b2""",6022 USD

"""0x0000B8e312942521fB3BF278D2Ef2458B0D3F243""",5357 USD

"""0x8BB7D32722C0B46605541b55e8eB66d18484beDF""",5137 USD

"""0x8b04080d54dF3cF24DA20d536c320049739c7d85""",4857 USD

"""0x7b9d4D8772b8705dDc7456Daf821c3022DDa0504""",4620 USD

"""0xF332ed3fe19DDD582236B8C67e409933fA878b15""",4351 USD

"""0xebd93a2611B0a35f722E79A4bF7F7f000C514a4d""",4194 USD

"""0x87F923a8088F8349064D680f5DB1720938723757""",4144 USD

"""0x694624CDC136378934Ff2c7Fe770Ad4603d612Fd""",4021 USD

"""0xA4364605c0Dd30692651597BA278775797fd912F""",4008 USD

"""0x6C7FcA4Faa633f34FB94172Fa6Da16137ab36b93""",3833 USD

"""0xbbA4264E80b2df605C9B252A683830Ea52B0A8Df""",3512 USD

"""0x8F4F33f822f0A9754f5eDEe30522CCF97F134F24""",3481 USD

"""0xDD0bA0BEaD4b384Fc0FEf7ff44C27f39b86D0536""",3094 USD

"""0xc458cf4BF285e5438b39aA5d1e8726Df11454442""",2957 USD

"""0xd7E1236C08731C3632519DCd1A581bFe6876a3B2""",2710 USD

"""0xa77B5cDA2366D8B9c83B8b06Ec1b9b9056dAB3AD""",2697 USD

"""0xF6518aD7786cFCF8238a225E83b1F3a3065D729D""",2591 USD

"""0x5Adc7f1081c8Fb8cF700DaE630B0c8d9b0Cc0617""",2386 USD

"""0x54Ca2155b9cd7f5937A6087A39C55682193E42E1""",2116 USD

"""0xD1D1923d12B5950d314e6a75d109FE5B908C171d""",2043 USD

"""0x9Ffa18Ce826379043b125b1a56Ce7F807584Dcff""",2025 USD

