Address,Balance(USD)

"""0x0C3010556f47363C7C3718Fb89851Eb936f6dd15""",661141 USD

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",290015 USD

"""0x1BEb1715899a355dfca4c763080E88F35286d025""",226732 USD

"""0x6f9b69ce2Cc15Bd76024607E15EFD406a8c9D142""",125754 USD

"""0x7cf9f878942489B7a1725D628A9E59fb1b38aB27""",66030 USD

"""0x7594F15D27B58C04B82C3891e6f5f4488b2006e0""",59178 USD

"""0xaee2Ae13EBf81d38df5a9Ed7013E80EA3f72e39b""",57202 USD

"""0x44247ed6A62f91E055CE1281D75CBeBA313D43E6""",49363 USD

"""0x70640FAbD64277b24e9f41f592E61407ccc1fa0b""",47366 USD

"""0xad7149152a65E6Ec97AdD7b1B1F917dCaFCf9b21""",47042 USD

"""0xf02692a0A1c848658F176286A8CbF75010a9090B""",41121 USD

"""0xee22294e77C04338Dc5bEd295bBc5FBA0CE5F23E""",40543 USD

"""0x5895D7D5667Ae9FBA7a86B9f6C542aB3e6456968""",38773 USD

"""0x91604c333233aFB3Bf3De05F40ca3B5FAA8AD97B""",28181 USD

"""0x4dD36C49B200A6d52eBB365F01Bf0e4Db8b9f765""",27420 USD

"""0xfC5bC9c2703BF28ba13B95558d42B98DC5795655""",26474 USD

"""0x275121b5734BDaE3BD97da0fE37f47450656Cb13""",26348 USD

"""0x44F7D684401A3C6fe7E650f2589579c6F47FE3dE""",23879 USD

"""0x900cB4A0BFA00d567cfBd2b425584341DbefC30d""",23524 USD

"""0xD91DC7c83bd01b91Cb25019DFc4E35BC6FaaB814""",21728 USD

"""0x378B3ACb3cF821738B8B8DB4eFfB412b937a6484""",21558 USD

"""0xFC8433E78F40B0daB7Ce2E026c79837AA1818E97""",19636 USD

"""0xD7232a67f45bC804349422c17B1aA8aF9F6330e6""",19589 USD

"""0x13A4D642cAA4756AF054731340c3C740136256CC""",18426 USD

"""0x27214A0758C810d6058A592F73aA75C9F35EAc03""",18237 USD

"""0xe2D6ceD8510f22A5f351a6B603126128C257798a""",17763 USD kokomade

"""0x758aDE6E2EB059Fb7cbE2502C8de376b4863EcC0""",17492 USD

"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",17152 USD

"""0xB32dB88A0Cb73C2878846B41A3015838bD8Be090""",16996 USD

"""0xD3c1e839be4A9c52de9669c4F8E8af67104BA21B""",16043 USD

"""0x2C1FBdd2143992E822211e0830F227A0E722188A""",15813 USD

"""0xe2cA3167B89b8Cf680D63B06E8AeEfc5E4EBe907""",14889 USD

"""0x639b399aFcfb2D51fcB003F05ec6e50e095E64A3""",14357 USD

"""0x5f74843a461eC6AA77B7Fa52722435BD07d82150""",14076 USD

"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",13627 USD

"""0x961678B9552284E82D0D6b25D475674a17e1aaaa""",12402 USD

"""0xd24C907e810Edc35ec416B96b63722E45fD91C1a""",12361 USD

"""0x6D832f5f1782334c8D14983533458df4Ed37b828""",11310 USD

"""0x8C09aBE8cefA7346E6F69820A802c37047ba9382""",11039 USD

"""0x1739B308d2232f9987975298c4459b5e51Fa272E""",10992 USD

"""0xc252cEEc3AD24C47657638C323D96249a9f1b42a""",10992 USD

"""0x4953727B90156077C5AE375194Ae7b26189153Ad""",10786 USD

"""0x20a0613777afBfCb56053a07B197bcDBA08cec58""",10576 USD

"""0xbf168Ca0040577e0054BF1A8Dd8b99b441a61c18""",9686 USD

"""0x1a3AEF62c934ee690D91Dd3d1941f90b171c5301""",9142 USD

"""0x1F955D56bfdc4Eb4e97A865173065DD1F9Fd29aA""",9030 USD

"""0xb9395a92511CCD81E59f14c5FdcFEbc5746ac849""",8971 USD

"""0x55DCad916750C19C4Ec69D65Ff0317767B36cE90""",8936 USD

"""0x610D49F8a264DB3B41A793173ba5b8acA70444C2""",8695 USD

"""0x1D80ACDCae2257329557Ae12C1D1fC21361DeF30""",8632 USD

"""0x9897e956B6c061a7bEE93ae2b42dF7e37AFc0f95""",8525 USD

"""0xb720c31d4CF1c730f21F6e59AA20FC65BDb7aCF6""",8384 USD

"""0x3123bd30098EBfB100957462543c5334763e452E""",8247 USD

"""0x74E4d99E04567284Dd4Acb72A9eD4f232AcbCD61""",8185 USD

"""0xad67D3a4fE6040CcB8AE703a443202Ec6b9E4a0f""",7895 USD

"""0xCF804e7cD97E186404a892C0Fe3E79E26b7bEaFd""",7856 USD

"""0x24b35d1B2B71F4E316D32388A77384ED442c6258""",7704 USD

"""0x7C41A88E599Cf947db253C76F4E726Fa9afB331B""",7505 USD

"""0x1e9D349CeC77FEA6481F009593101d0e20a69490""",7429 USD

"""0x56D22241b3dc2B7a96D292a9e4b7c6F83EE5664b""",7386 USD

"""0xec21aa271DbD4c6bb1b18535542091372fF5896e""",7296 USD

"""0x198e363E2e7d58f521960e4175a7dfe0F59936f2""",7250 USD

"""0x927300011e3E02C4858a1B000027cc007F000000""",7053 USD

"""0x120051a72966950B8ce12eB5496B5D1eEEC1541B""",7049 USD

"""0x55cB2DB36E48f38fA93afcD885edDeEaBA9b6Ecf""",7015 USD

"""0xeAFBC004748824d31df7cC785852f34f90ad22E3""",6897 USD

