address,balance
0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,135923625147223768547
0xA0b1C5F88d9A1aCDD4f7fF869e947bfd54C07c61,97898926938565528716
0xD6c627b896cD60Cdbe9FF4E5fDD4a792C78C842d,54989713093705152962
0x7594F15D27B58C04B82C3891e6f5f4488b2006e0,45110398246255465285
0x79b7a69d90c82E014Bf0315e164208119B510FA0,38286006201649408872
0x047a2fbe8aEF590d4EB8942426a24970af301875,33459400080648210020
0x000013De30d1b1D830dcb7d54660F4778D2d4aF5,30814040477718991814
0xa6Ae57b1dA8238Cd149bC718c40578E4620b752c,29639733293229762700
0xB722E4d12D4c0ec0309856e32C4F7Df9C05a11fb,27129720710054865310
0x41D3Ab85AAFEd2eF9E644cB7D3bbCA2fC4D8cac8,25154938371467227745
0x39C6a46156dC2c60CeF0eDef4FE40AE94ecC18bf,23447938853003872424
0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68,20496507735054993919
0xFDe0d1575Ed8E06FBf36256bcdfA1F359281455A,19863286859830530697
0xcc88036Fa05c86129Bf66260c2A905AB2c7B663C,15274216494783642830
0x8eB2283F696F2a130134d46E28d3528e19e16868,14975805502099887283
0xBfa122240efe773727e63068c3beF95c667Ef92D,14688160946814480778
0x67f9bB828745f2aEED04BfEaB1B7527B130b5C78,14650626979301688077
0x26cE7c1976C5eec83eA6Ac22D83cB341B08850aF,14000043637818742201
0x261D2966042F2DcF17bd55c2502C71eA6f6B80bd,13693353961674146159
0x461F3fDB11a2DD9720843c78305C212e9DfDa94c,13594899138075017241
0x7944E84D18803f926743Fa56fb7A9bB9Ba5f5F24,12762690775084692767
0x080086911D8c78008800FAE75871a657b77d0082,11411556004070696945
0x76F36d497b51e48A288f03b4C1d7461e92247d5e,11403638701754814020
0xe2cA3167B89b8Cf680D63B06E8AeEfc5E4EBe907,10974499002275545226
0xc7Bf1bF8D639Db5aE9C52C905747795752DC967a,10174002749830126958
0xfc2fCDC00C97A36a625cFc2ff7C07Dd05AFf732C,9969308034983767508
0xb8feFFAC830C45b4Cd210ECDAAB9D11995D338ee,9680489264188472143
0xDF1F6587aa741Ff62cABB9BED8daD062713cf3eC,9198643354818061806
0x1264F83b093abbF840eA80a361988D19C7f5a686,8320718360023640163
0x8F8097A2aF8EcB317f05ff284069afaA87763952,7970331366944449846
0x892eA40dD71425b6228461aEE4EC7F7865889994,7026987031923590882
0x5439B329D4Dfd62A1995F15BEcD4A37FCA20031b,6780317999296055613
0x4F0d8A9E5D2E814817CC61b47208ACB9806F6e68,6151389914041141215
0xb5eaaC5a8649142dcDd13F981767913bcDF7ee42,6146955899167048516
0x83b4F74296738d8C2e15bD7c1f4a19Df122354f5,5843147100938940463
0x111206594F2fB5927f719b4417Ab1DA3D41B14b1,5732729714228543652
0xe9Bc481B7D47Be525e923e4813ee5c86818b31D7,5677042146647259877
0x111527f1386c6725a2F5986230f3060BDCAc041F,5636819906411561527
0x1111E3Ef0B6aE32E14a55e0E7cD9b8505177C2BF,5620506803460115165
0x1113eFd5C8896CcF251EA360bB9d91F113707F80,5561166993208385149
0xc24D30475eca133302192B502085a3CC124b0b9b,5522890371319269861
0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb,5453138352681802027
0x68CC21f7c777243D1A9c71C2349BfdccD8Ca7B78,5395991709568506078
0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5,5299400978927704491
0xb9Fa59CA6C777E0C635148EDaa74BaAf6b0EAD83,5193746321728516823
0x38790dEd09b38Df2F558FC040ae7A2B060B38FB7,4920225137187228853
0x66663fc110D78f7d034A66F1db6A30f1e039c9D9,4776030557095840637
0x5555D59ea654B36dceeD88cC5FB85FAf3d150296,4727671346039773565
0xe818E090aF753FF4482DeaAF5BC3caAf2e0d66fa,4623812151533221413
0xb820dF833e97950fE75F6366B51113634A8c14fD,4116473554409877041
0x23583b8104C11F3C2fB30Cee228170FcffAaD0b2,4056945772339414517
0x202bB2FaB1e35D940FdE99b214Ba49DAfbCef62A,3968254733734186850
0x08B744f0699D44F0599b4C2dba093E2783bd866e,3926315379575042496
0x0000B8e312942521fB3BF278D2Ef2458B0D3F243,3749695398628358450
0xe0D674DecC698c195eC27691Aad29cC856b064D3,3726417418156586215
0x77ad3a15b78101883AF36aD4A875e17c86AC65d1,3361645487112272401
0xc4c162e5E2475675cf07f4c851659d0f4266c224,3318953663556093211
