Address,Balance(USD)
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",278535 USD
"""0x7594F15D27B58C04B82C3891e6f5f4488b2006e0""",59160 USD
"""0x047a2fbe8aEF590d4EB8942426a24970af301875""",58583 USD
"""0x0DdcB0769a3591230cAa80F85469240b71442089""",42912 USD
"""0x953b239b656f611b65F86e0e6a99E6b500f6bC9a""",41501 USD
"""0xe816E052e9CBc1474BEf8bD536F1695a237c3CC3""",37975 USD
"""0x241f4d70e8f2EA8Ab160E376236029565A1F04bf""",34558 USD
"""0x99391C6F4d33DdaC56E0856Db4eF0013851031bD""",29709 USD
"""0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68""",24596 USD
"""0xc7Bf1bF8D639Db5aE9C52C905747795752DC967a""",24384 USD
"""0x94f2C687921677688d3d9A6963528F7f13B1D2A1""",24194 USD
"""0x1D91da30b083fc17C5cda25b25819D4b8DB27862""",20387 USD
"""0x8e3EEdF2C8655c442F0C1Cc0A58160250BecF03C""",18562 USD
"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",17147 USD
"""0x2a8979E2672acC7F8583d7564aD1D9B5dc375736""",16975 USD
"""0xe2cA3167B89b8Cf680D63B06E8AeEfc5E4EBe907""",14884 USD
"""0xf8fc6973c60f70eE4E8540E2D163D9DDF1Da044F""",14875 USD
"""0x164f24087bc3461917F71c33c6F892198CC92B9e""",13288 USD
"""0x38DfC9cd34b2f686914a48C807c30BA176F3C7A8""",12986 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",12743 USD
"""0x4d95D56512960A1705398268d6A0152Ffa7b3e58""",12143 USD
"""0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16""",12132 USD
"""0x92993440e4c216fC7c55F9BeAc9d203b1984e74c""",12104 USD
"""0x084a941400Bb378430b9045802D3F9c5CE5CcE37""",11615 USD
"""0x1757DCb667d7D1A1142282A05A534d52C4391a7C""",11138 USD
"""0xaaaa9f7C86Bd07FDEEdB4C6F30666E6642573d64""",10654 USD
"""0x1113eFd5C8896CcF251EA360bB9d91F113707F80""",10345 USD
"""0x9bc4a33D6B2f38f7aA79a881d91bDffBe5C1D4b0""",10245 USD
"""0x111206594F2fB5927f719b4417Ab1DA3D41B14b1""",10244 USD
"""0x1111E3Ef0B6aE32E14a55e0E7cD9b8505177C2BF""",10149 USD
"""0x1114C78D5DE672996d812DC2E1a05b5F33EAcDFb""",10038 USD
"""0x1110F5B97703D14AC3dE91bdcd12Cd4566ae48D5""",10031 USD
"""0x111527f1386c6725a2F5986230f3060BDCAc041F""",9817 USD
"""0x349c8330d599B53a540e32f36B90f4bA38CE5C58""",8535 USD
"""0xC4a5220660BD57b15d622f71F5d4164bE2090105""",8151 USD
"""0x5a39e2D5a81Fe9e630Ee574df446B78F742F5D9E""",8096 USD
"""0xE17aED2219Da9b8fF405d5D87Edd927c538fE0dE""",6965 USD
"""0xA11d50b994ff8d4CD671FcdC05BE6746A393F609""",6604 USD
"""0xE78D27326f1A6f1F6bA6Ad5e1B24A3aDdEd2791A""",6366 USD
"""0x62cDDc591a5361C8B5f4a4AB0c9b78c06fd7FC3D""",6216 USD
"""0x3DFDfF141355b38A886Bb176bd1524c759375b83""",6121 USD
"""0xf6AE71094e4beA1507D8A2d4b4aF13f17E032E0A""",5952 USD
"""0x23583b8104C11F3C2fB30Cee228170FcffAaD0b2""",5921 USD
"""0x0000B8e312942521fB3BF278D2Ef2458B0D3F243""",5313 USD
"""0xFb934067c8b9cae42F3B296Fe977409B4f8E1435""",4997 USD
"""0x96bdED4D5150A59908d24c6ed46ee5aceCCB2629""",4792 USD
"""0xb4614Ea3FCd861b8385F4F0ac2aDC481E8EB6fAF""",4770 USD
"""0xCCD88f2d93347E6BB5bA743e0fC2695FF7DF8D92""",4241 USD
"""0x60C33EEc76F1b55185D2030Df84438bEC7d5a88a""",4235 USD
"""0x4ab8c99ad73D23F8AB2051D10D23F74d3174298f""",4139 USD
"""0xD3b65Eb5369268e4f3D183d83Dcae0178BD98E70""",4084 USD
"""0x18C59c3505B6E0B6b23122De69903D51E9D74baD""",4062 USD
"""0x1E3E11D680ADBdd6B9a3B046f0F470bB2c423fA3""",3929 USD
"""0x9b315a6B563687357FaF7493700C3EA406f5d55c""",3494 USD
"""0xce96a89e01891747174760f9CF3bf15cb12F5ef2""",3375 USD
"""0x584Df055A35acf2d2183d37fC7F42cb4c502Dc51""",3221 USD
"""0x425A4a539C085Ff2568e19ee1304e97a92688959""",3154 USD
"""0x7dd116dcB3Ddd455555dA01C3069C23614C5570D""",3153 USD
"""0x83b4F74296738d8C2e15bD7c1f4a19Df122354f5""",3113 USD
"""0xDD0bA0BEaD4b384Fc0FEf7ff44C27f39b86D0536""",3072 USD
"""0x160f1fF8dD29ca09008E4340cd485EEAF9AC9d64""",2940 USD
"""0xd75e7d1A42b616A24a8AFA71a462D74738a87d50""",2932 USD
"""0x6E6F4544ADEbFcf45482a3Bca7985261691120D3""",2835 USD
"""0xC3CB468949bD25c993F78462ee39Fd40C19165f7""",2631 USD
"""0xd0AcD9F7274cd3746E8183E5e98Dbf3140753132""",2621 USD
"""0xd7E1236C08731C3632519DCd1A581bFe6876a3B2""",2613 USD
"""0xabCFAd583458D80845c5c6d7BD7BeC4aC19f9Db8""",2574 USD
"""0xFE0BA12D3c129f0f01B5e633A416b38EA7e94eaa""",2486 USD
"""0xe839B2E436782EC0F52724e72B68d1C70CbC8F35""",2326 USD
"""0x4c682B9B041169F4AE151eDeD6292D679EE44A93""",2319 USD
"""0x321D010743d97CD1cb72Df652e4630E0262b73c5""",2280 USD
"""0xEeB34902D56b520A332eDF7B47cE86810Df4bD2B""",2245 USD
"""0x18c43569593a10C124FB738C00c33B75748B971E""",2151 USD
"""0x4D686e47F19f06106802Cba5d1C1A9150d8bcf9D""",2033 USD
"""0x56d18070CfD8E089aF8bD3C4C325b6E164C45398""",2024 USD
"""0x76fe1C0db6387f6A4cab80da4Ea881aBB68Cb2D7""",2001 USD
"""0xeC8501D13790E06441705c180a78065534c8360B""",1883 USD
"""0x3194770E03Ec3b0EBEaA7eb93b01290A85AcC905""",1854 USD
