Address,Balance(USD)
"""0x4DbE965AbCb9eBc4c6E9d95aEb631e5B58E70d5b""",878705 USD
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",288331 USD
"""0x7Cbd13bb95B9D8A26f65234AA2867652426E133d""",136932 USD
"""0xDAfBED6Fc9A5783983994Aa7748ff79729caf1E9""",95745 USD
"""0x1e92c9eadeBA93Ce0eA799947744C39e9B67BeE6""",74439 USD
"""0x7eF61cAcD0C785eAcDFe17649d1c5BcBA676a858""",69415 USD
"""0x35Af35721D84B595465467A021DeA8B359686799""",66419 USD
"""0x126CE873371c15A664306a387cc2329F67Cc515b""",56201 USD
"""0x0124D0fA0DfB1430dFcff16eC6A96945E7a0BC10""",55008 USD
"""0x73051a64044FEa61A6100eB0b55C9087BE32ccA3""",51910 USD
"""0x0973C87c2923d7489f5B26E60185fDD878BCe174""",47001 USD
"""0xFDAFc1BE6287d8C018EB7084c84f49239C3BF0F0""",39694 USD
"""0x538d278E05A35c96bCDca1039e92C65b994256a0""",38610 USD
"""0x0F5982f83349b7Cf2ad7F6E4792316B23Dfa25b0""",36232 USD
"""0xaC08eeB1853Ca05810C0843B722F1Ad6d64270a5""",35673 USD
"""0xAa9c52276069B58227697805F24707e175313351""",34849 USD
"""0xA402970fA646E7A2946084e2591B52F285E4b498""",33634 USD
"""0x3BDd7CEa539FEC6E77405a6142df3D41629A9ae9""",32383 USD
"""0xEe20f85dD3f826700A6A42AF4873a04af8AC6D75""",31639 USD
"""0x6f29811c3382b9Efb9A58a3B5aa68fcD36dD8e2C""",25684 USD
"""0x509f9a5134C0d808ebaC98e98E9F451029ccF1ea""",24140 USD
"""0x8C6af0A77b37dE0B56fE211156823F896330F789""",22457 USD
"""0x8720413706bdb907693F5d2bC9f1A038adaDB81c""",22020 USD
"""0x2Fe12B1558AF79B2122be84E079dcC0145cD18f7""",21061 USD
"""0x7E3F8a5eb16B8a11e7De6732BFEab8E9ae187F38""",20463 USD
"""0x15Fff7c1231d195fa7b0F589012169e0877F2eA7""",20346 USD
"""0xBea1771efeD9D4a80D6cE19Aedb70e56Dd739B49""",19126 USD
"""0x551BF8b9Ec855c39cB52Ab891c4f3fD86A94A140""",16609 USD
"""0x00D29fBc981d05edBA69BC0909E391a132271357""",15315 USD
"""0xec1262f76C6F652063CB3ceDc028AA895bd03297""",14924 USD
"""0x6D72617cEA2CE4D291d93125c1A807CBe75D1942""",14382 USD
"""0x71253373A3618a965bBb31E829a0BfaB7Fd0db00""",13674 USD
"""0x4f7e99641e08F540A191457212e1c8c0659cB851""",13382 USD
"""0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16""",12752 USD
"""0x49BCbc58848AC642B48f3D824D8b728a1045D08b""",11526 USD
"""0xD90290c8C49a571D9be4FDEE4821697b26C05657""",11078 USD
"""0xc1D48c260720A6DC215D375880C6a0E60642b8cE""",11011 USD
"""0xD9b160Eb8f06dC4756231Bb79715A00fDFf397Fa""",10807 USD
"""0x901dA172c257bA6a52A17a8aAe2B03277a470163""",10384 USD
"""0xAb208E92572217dF5297d996f01B7741D1a5e944""",10378 USD
"""0x64aEc4326d32499E9d38a40E22bbAB1F2b74a848""",9926 USD
"""0xac270Db5F0C00505c7972034110Ff77d2C20F1e0""",9624 USD
"""0x3Ae8A077b5307cbAc4371d9b8E39f6a660A1440E""",9078 USD
"""0x0eE01Fd0BDb6B449CF343EcAFA7116BE49B5286A""",8896 USD
"""0xEbbEc4A96Db40dB23735301C4eD74d3b320eA4d6""",8385 USD
"""0xc663921fB0A32469F95996169A148A9dfeF511C8""",8144 USD
"""0x479b0e651693AED68FE42Ae60bD5183DA253BCDa""",7997 USD
"""0x0F3f647e19ddf45D1a963527Db2Af07c8175Db20""",7652 USD
"""0xe8Ec8a0821f12828e305DDbF01F09b16e0A06f88""",7573 USD
"""0x203950042FE302C42c28B9C96541757072ad172B""",7559 USD
"""0xbFC5B98320d10A3aF1931aA46f658fff44f457c1""",7456 USD
"""0xE6a9D0539FAbe0Fda237C3c4baFEaE2042B06E67""",7367 USD
"""0xa779F7f2de2F3A09526c9163096e5cdA5e313999""",7210 USD
"""0xc7DCB30550c2A41149AabF6A729E8554E6606f85""",7048 USD
"""0xFf66acbE5969f6baCBB4Afc33E1f2C19eF74ca22""",6499 USD
"""0x001bc5965Dd59B2C8b376419bD628789c480a8Af""",6497 USD
"""0xe53e44386288F6390860aC3c95372ccF9Ab53a2c""",6084 USD
"""0xEdf2D8C1Ba3FBA4C758ca78173c0779ce0362a0A""",6012 USD
"""0x2E9016C0f979aCdEEe1E024cB4473f01A474476C""",5982 USD
"""0x758e83c114E36a28CA1f31C4d2ADB5Ec7c04C578""",5831 USD
"""0x96138a819c94A8eE8f8fb8916CfE3AC91a3111eE""",5617 USD
"""0x9dA10e7fD5fA012810Ea050a561EA1EA7762c877""",5359 USD
"""0xa9f078B3b6DD6C04308f19DEF394b6D5a1B8b732""",5354 USD
"""0x77a8c4b04629B29147B8e3e3154AcFdCf65E27c2""",5348 USD
"""0xFA6272F75081DCFf91c23cD8d85260611ED71C41""",5301 USD
"""0x55038f72943144983BAab03a0107C9a237bD0da9""",5272 USD
"""0x1264F83b093abbF840eA80a361988D19C7f5a686""",5220 USD
"""0x785936c019f522B4EA7D157bC8235F3d31eE31C2""",5074 USD
"""0xB76Ad9b3B5Da12cF3214AeA433EC25751d340a4c""",5060 USD
"""0x812682660592775F01F3C309B027bbd7C41E8cC8""",4998 USD
"""0xA141C36cE895788E203be4740e6D378dEDd5BcFa""",4962 USD
"""0x04da4812e0547bE9c78dCd4555727C7fCBca6AC0""",4935 USD
