Address,Balance(USD)

"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",304657 USD

"""0xC84449d779b87EBf0cb02F913cDF320C59Ef26df""",234492 USD

"""0xAB1FcD745a47ac783aa959Bf1e2486291E5989d7""",136339 USD

"""0xC8B8d850BB0678D850ee819123042CCFd8561d46""",91920 USD

"""0x7594F15D27B58C04B82C3891e6f5f4488b2006e0""",58603 USD

"""0x9fF648b39c75b430a8f8d42E716caeaC04bFeCC3""",39694 USD

"""0xaAB4DfE6D735c4Ac46217216fE883a39fBFE8284""",32034 USD

"""0x006FFfcF353044C09209e3eC7e452F7b93d1B12c""",31138 USD

"""0x83449c07C419944aBc63d890B11C6095b9A260C7""",29121 USD kokomade

"""0x5d10eC59c8c702A5b84A89e6f6B4aF97fe1AF487""",27985 USD

"""0x45a3fF69000d5D693748a358006B0D3ff81821c9""",27686 USD kokomade

"""0xe2cA3167B89b8Cf680D63B06E8AeEfc5E4EBe907""",25799 USD

"""0xe91B78109eee1C666EB058B14e8F7703D90e873e""",25198 USD

"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",23489 USD

"""0xfa5ee6d97a0536519AdF84D3942cCAE9F03FA1cA""",19268 USD

"""0xfF1651fB758E92AdFB44632DB5B42F56Da9Ad70d""",15250 USD

"""0x63095Ce68aE2f6DC0a3E068d97F2d392c51EBD06""",15092 USD

"""0x76F36d497b51e48A288f03b4C1d7461e92247d5e""",14422 USD

"""0x49BCbc58848AC642B48f3D824D8b728a1045D08b""",13858 USD

"""0x1739B308d2232f9987975298c4459b5e51Fa272E""",13784 USD

"""0xd985c35F566c9De55Df16ADE36852b0C40f4bF59""",12808 USD

"""0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16""",12795 USD

"""0x55DCad916750C19C4Ec69D65Ff0317767B36cE90""",11802 USD

"""0x1D80ACDCae2257329557Ae12C1D1fC21361DeF30""",11650 USD

"""0x4474a9308007D20275DEAAcf8957C535b9F29788""",11532 USD

"""0x80f0282dBbA84647272806341a2f2c00af501CC3""",10755 USD

