Address,Balance(USD)
"""0x346B68b59d8E0Aedf576c59E2324CAD3a3ad0A24""",431963 USD
"""0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13""",237704 USD
"""0x4339889FD9dFCa20a423fbA011e9dfF1C856CAEb""",100246 USD
"""0x79b7a69d90c82E014Bf0315e164208119B510FA0""",75967 USD
"""0x047a2fbe8aEF590d4EB8942426a24970af301875""",56356 USD
"""0x04192b74807F697c4e78f4EA1c727f2BfCbfbC04""",50090 USD
"""0x9b7e7f21d98f21C0354035798C40E9040e25787f""",38708 USD
"""0x77ad3a15b78101883AF36aD4A875e17c86AC65d1""",26475 USD
"""0x971aC48e6F904406edBC22687ED92Bc8966fe551""",20770 USD
"""0xa0F716933DeDA264269e5B4285DBDBD51EdE0324""",14323 USD
"""0x1D283807630fFB876A5d78B8e0788e491449F241""",13565 USD
"""0x302B9D2C872e178B6771BDcA506E611AD6e1CE41""",12622 USD
"""0x7cb1249c81606457E70628a04f198c17F0C31d18""",12586 USD
"""0x1739B308d2232f9987975298c4459b5e51Fa272E""",9946 USD
"""0x3E27d0CEE58273fFF8053043963d0c49bf5DFeE7""",9409 USD
"""0x68182338027F35d3B2dee6BA4B0D9d833719E578""",8539 USD
"""0xad67D3a4fE6040CcB8AE703a443202Ec6b9E4a0f""",8005 USD
"""0x0A269666362819Ccc2801640AcdaA696B16D0D5c""",7924 USD
"""0xA3bB3F1dE6e76588Ecb82be1D87dF793d1e3bb97""",6828 USD
"""0x12dBBcD4efc77633A83cb1d67251e3DAa9268fE5""",6615 USD
"""0xdBD79193B251bF0A77A24b76775B6D2C6615a654""",6615 USD
"""0x55DCad916750C19C4Ec69D65Ff0317767B36cE90""",6599 USD
"""0xCC89EC35fCECC62273603B6031f93ca692a54414""",5261 USD
"""0xE240b26F04aC0e9FbB69Ef27aD03928DfD30A647""",4518 USD
"""0xd8b07BC1bC3bAe553BCA5E94E99935dC12Df24Ff""",4267 USD
"""0x16459340d5C4082506A193484DdC749903b06Cda""",3718 USD
"""0x8D0521C7748e47369794cd346Fb61Ad31b0a2b03""",3653 USD
"""0x57ED453A2a266Da06461821bA31F62af3F62c8c2""",2587 USD
"""0x03ee431dED5a289748FbB789E16881749E222769""",1234 USD
"""0xa7D8158457eA46f0467456A056Ba719fb1812110""",1196 USD
"""0xc0A518AbcFc27219f5A8b429ca90d6b9220fc515""",1095 USD
"""0x97581aBB0bd7107c3a6D456ca20eC846beA38C29""",1087 USD
"""0x7770855BE3D5d0222897cc6c38749C74671b7777""",1065 USD
"""0xfE3d485f9795b1F9037a9f27ff0a4D442f48AF7F""",959 USD
"""0x9d263AF3950c80e3b49abD6def91F803762D65AB""",920 USD
"""0xf8e6f23f18a04Bfd481cE71ac894488568285f1b""",858 USD
"""0x7Fe47c5f8f15E96b5D76fC80D4B9A24492BAFD8a""",675 USD
"""0x27A45873644c0181aa7C48C913CDd36169b3fea5""",628 USD
"""0x166daB7e08d169aEfBdA392bD935adFcce4C8822""",572 USD
"""0x5Bca4075dFC8065235cF75C6b15B410e62845Fec""",515 USD
"""0xa974890156A3649A23a6C0f2ebd77D6F7A7333d4""",442 USD
"""0xE975cF973fAA9Ef7e168Dacd9D8a3437bC05c06e""",416 USD
"""0xCDd88B8e097de1FdDEDe2f536A5b13884F155868""",384 USD
"""0x7Afc6311588Ec8C7b53f22efA5c5607dfd178309""",329 USD
"""0x1D17541e010761E0687a51bC27a6C0a8E7F9d4AF""",312 USD
"""0x0de300c55a469856AF6E97De8dF44c9293cff6Ab""",307 USD
"""0xCa2eC01632B7604a33a29f70BF8494477C68d443""",268 USD
"""0x1c4Ce54179C9CcfD35632ACEA4B3f03E54618A1E""",255 USD
"""0x8e89B2958347DF54AC8EfE0A0183AA3c6Aa9c66c""",198 USD
"""0xFC72A8363d064E25B2243bD62171adcAc2DFE3EF""",192 USD
"""0x4b844A39CFaD054D3E56F88e9Bb2F64eFDda75F3""",184 USD
"""0xf3B08a2E2747A0638Ad91e163BE3a251f26b6C38""",123 USD
"""0xE87439C4d526640B034F734F9de65BA9BcB952f7""",111 USD
"""0x54BAE604C2A806a013beE2Fc51f5e19af85AF858""",106 USD
"""0xB18B18bCf64452F146F0b7F40DB169529E8C4c24""",77 USD
"""0xbc39A124D833fDF62fA0C828fF5F8Fac816e65CB""",76 USD
"""0x9aD29C7887ce25144d99eE110a2b795F17005F30""",61 USD
"""0xE0b054B5C578e0D8c5889B3494469AB83E24b448""",58 USD
"""0x99054fbB326D34ee573E0B3615acf0a90FEE604b""",54 USD
"""0x30C7A9BF971B334e36863f1AaDd3E61975Ef7afE""",51 USD
"""0x91EB8200915Dca08EA793B91169Cdd9d808f32c0""",46 USD
"""0xe86042df4a68A909F18a629D855a0aa43E523fe1""",38 USD
"""0xCa077a26544657B08508E1F02236fC10bAc86bf3""",38 USD
"""0x6031FF7c57669A12a86a80e30b1BD8d589C61CB4""",21 USD
"""0xdCC555B599aA2C76Ed740EC7133F3D4CF945D4b0""",18 USD
"""0xb30165465a809d8c03785C35661169D4098Cf98b""",14 USD
"""0xA67D6894C7f2DbCf86F8Fa742B0E6b9e76F60E51""",14 USD
"""0x4510476585783c8e03FC95688CC9a1298124d1b4""",11 USD
"""0xe261BeF3ab1D518B2d4598755B07f2B807835989""",10 USD
"""0x6687e48C5755dc571cef82FB7AFD2c74da625464""",6 USD
"""0xc26138859a31A06b07e45B69378dfD89a1060b2F""",5 USD
"""0x51dCC882B56B069Aa2858D4B6411E6957e87b17C""",3 USD
"""0x9346c0a3238ed4909879397Ed7246038abd48d4e""",0 USD
"""0x1d4D4568f88Bc889ED3395AC82c042d76863a016""",0 USD
"""0xE7d975b05EDD321Ab3173BEAD5EA8A4e9BB91B1E""",0 USD
"""0xb0DBC5EAac06B178a081219dF61d0883bC668c32""",0 USD
"""0x87d34Db6264F8c9dd3d10165597aa58e80AA305c""",0 USD
"""0xAf1e0C32Aa9A0e9d239643269c40292561Ad93A7""",0 USD
